reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1545,27,200,阿毘達磨大毘婆沙論,Apidamo Dapiposha Lun,Abhidharmamahāvibhāṣaśāstra,玄奘,譯,Xuanzang,translated,唐,Tang,656-659,,"Sanskrit title and date 656-659 from Lancaster (2004, 'K 952')",Korean Canon,http://tripitaka.cbeta.org/T27n1545,2016-10-15,Abhidharma
1546,28,,,,,,,,,,,,,,,,,
1547,28,,,,,,,,,,,,,,,,,
1548,28,,,,,,,,,,,,,,,,,
1549,28,,,,,,,,,,,,,,,,,
1550,28,,,,,,,,,,,,,,,,,
1551,28,,,,,,,,,,,,,,,,,
1552,28,,,,,,,,,,,,,,,,,
1553,28,,,,,,,,,,,,,,,,,
1554,28,,,,,,,,,,,,,,,,,
1555,28,,,,,,,,,,,,,,,,,
1556,28,,,,,,,,,,,,,,,,,
1557,28,,,,,,,,,,,,,,,,,
1558,29,,,,,,,,,,,,,,,,,
1559,29,,,,,,,,,,,,,,,,,
1560,29,,,,,,,,,,,,,,,,,
1561,29,,,,,,,,,,,,,,,,,
1562,29,,,,,,,,,,,,,,,,,
1563,29,,,,,,,,,,,,,,,,,
