reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1,1,22,長阿含經,Chang Ahan Jing,Dīrghāgama,佛陀耶舍共竺佛念,譯,Buddhayaśas and Fo Nian,Translated,後秦,Later Qin,413,,"Translated in Chang'an in 413 (Lancaster, 2004, 'K 647')",Korean Canon,http://tripitaka.cbeta.org/T01n0001,2016-07-09,Agama
2,1,1,七佛經,Qi Fo Jing,Sutra of the Seven Buddhas,法天,譯,Fa Tian,Translated,宋,Song,,,"Also known as Saptabuddhaka (Lancaster, 2004, 'K 1182')",Korean Canon,http://tripitaka.cbeta.org/T01n0002,2016-07-09,Agama
3,1,2,毘婆尸佛經,Piposhi Fo Jing,Vipaśyin Buddha Sūtra,法天,譯,Fa Tian,Translated,宋,Song,990,,"Translated in 990 (Lancaster, 2004, 'K 1177')",Korean Canon,http://tripitaka.cbeta.org/T01n0003,2016-07-09,Agama
4,1,1,七佛父母姓字經,Qi Fo Fumu Xing Zi Jing,,失,譯,Unknown,Translated,,,240-254,,"Translated in 240-254 (Lancaster, 2004, 'K 747')",Korean Canon,http://tripitaka.cbeta.org/T01n0004,2016-07-09,Agama
5,1,2,佛般泥洹經,Fo Bannihuan Jing,Nirvāṇa Sūtra,白法祖,譯,Bai Fazu,Translated,西晉,Western Jin,290-307,,"Translated in 290-307 (Lancaster, 2004, 'K 653')",Korean Canon,http://tripitaka.cbeta.org/T01n0005,2016-07-09,Agama
6,1,2,般泥洹經,Bannihuan Jing,Nirvāṇa Sūtra,失,譯,Unknown,Translated,,,317-420,,"Translated in Eastern Jin 317-420 (Lancaster 2004, 'K 654')",Korean Canon,http://tripitaka.cbeta.org/T01n0006,2016-07-09,Agama
7,1,3,大般涅槃經,Da Ban Niepan Jing,Mahāparinibbānasutta,法顯,譯,Faxian,Translated,東晉,Eastern Jin,405,,"Translated in 405 (Lancaster 2004, 'K 652')",Korean Canon,http://tripitaka.cbeta.org/T01n0007,2016-07-09,Agama
8,1,2,大堅固婆羅門緣起經,Da Jiangu Poluomen Jing,,施護等,譯,Dānapāla and others,Translated,宋,Song,1010,,"Translated in 1010 (Lancaster 2004, 'K 1453')",Korean Canon,http://tripitaka.cbeta.org/T01n0008,2016-07-09,Agama
9,1,1,人仙經,Ren Xian Jing,,法賢,譯,Faxian,Translated,宋,Song,,,,,http://tripitaka.cbeta.org/T01n0009,2016-07-09,Agama
10,1,3,白衣金幢二婆羅門緣起經,Baiyi Jin Chuang Er Poluomen Yuanqi Jing,,施護等,譯,Dānapāla and others,Translated,宋,Song,1012,,"Translated in 1012 (Lancaster 2004, 'K 1464')",Korean Canon,http://tripitaka.cbeta.org/T01n0010,2016-07-09,Agama
