reference_no,citation,location
1,Lancaster 2004,K 647
2,Lancaster 2004,K 1182
3,Lancaster 2004,K 1177
4,Lancaster 2004,K 747
5,Lancaster 2004,K 653
6,Lancaster 2004,K 654
7,Lancaster 2004,K 652
8,Lancaster 2004,K 1453
8,SH,p. 87
9,Lancaster 2004,K 1247
10,Lancaster 2004,K 1464
11,Lancaster 2004,K 1463
12,Lancaster 2004,K 1429
12,Walshe 2005,DN 33
13,Lancaster 2004,K 663
13,Nanjio 1883,"p. 137, no. 548"
14,Lancaster 2004,K 655
15,Lancaster 2004,K 1252
16,Lancaster 2004,K 656
17,Lancaster 2004,K 718
18,Lancaster 2004,K 1248
19,Lancaster 2004,K 1248
20,Lancaster 2004,K 1248
23,FGDB,s.v. 大樓炭經
23,Lancaster 2004,K 662
23,SH,p. 91
24,FGDB,s.v. 起世經
24,Lancaster 2004,K 660
24,SH,p. 91
25,FGDB,s.v. 起世經
25,Lancaster 2004,K 661
25,Nanjio 1883,"p. 137, no. 549"
