reference_no,language,citation
1,Pali and English,"“Digha Nikaya: The Long Discourses,” edited by Access to Insight, <i>Access to Insight</i> (Legacy Edition), 15 November 2013, <a href='http://www.accesstoinsight.org/tipitaka/dn/index.html'>http://www.accesstoinsight.org/tipitaka/dn/index.html</a>."
1,English from Pali,"Walshe, Maurice 2005, <i>The Long Discourses of the Buddha: A Translation of the Digha Nikaya</i>, Simon and Schuster."
26,Pali and English,"Access to Insight 2005, “Anguttara Nikaya: The Further-Factored Discourses,” <a href='http://www.accesstoinsight.org/tipitaka/an/index.html'>http://www.accesstoinsight.org/tipitaka/an/index.html</a>."
26,English from Pali,"“Majjhima Nikaya: The Middle-length Discourses,” edited by Access to Insight. Access to Insight (Legacy Edition), 21 December 2013, <a href='http://www.accesstoinsight.org/tipitaka/mn/index.html'>http://www.accesstoinsight.org/tipitaka/mn/index.html</a>."
26,English from Pali,"Bodhi. 1995. <i>The Middle Length Discourses of the Buddha: A Translation of the Majjhima Nikaya</i>. Simon and Schuster.</li><li>Bodhi. 2012. <i>The Numerical Discourses of the Buddha: A Complete Translation of the Anguttara Nikaya</i>, Simon and Schuster."
27,Pali and English,"Thanissaro Bhikkhu (trans.), 2013. ""Dhammaññu Sutta: One With a Sense of Dhamma"" (AN 7.64), Access to Insight (Legacy Edition), <a href=""http://www.accesstoinsight.org/tipitaka/an/an07/an07.064.than.html"">http://www.accesstoinsight.org/tipitaka/an/an07/an07.064.than.html</a>, accessed 2016-04-28."
99,Pali and English,"Access to Insight 2005, “Samyutta Nikaya: The Grouped Discourses,” Access to Insight (Legacy Edition), <a href='http://www.accesstoinsight.org/tipitaka/sn/index.html'>http://www.accesstoinsight.org/tipitaka/sn/index.html</a>."
99,English from Pali,"Bodhi 2005, <i>The Connected Discourses of the Buddha: A New Translation of the Samyutta Nikaya</i>, Simon and Schuster."
100,Pali and English,"Access to Insight 2005, “Samyutta Nikaya: The Grouped Discourses,” Access to Insight (Legacy Edition), <a href='http://www.accesstoinsight.org/tipitaka/sn/index.html'>http://www.accesstoinsight.org/tipitaka/sn/index.html</a>."
100,English from Pali,"Bodhi 2005, <i>The Connected Discourses of the Buddha: A New Translation of the Samyutta Nikaya</i>, Simon and Schuster."
101,Pali and English,"Access to Insight 2005, “Samyutta Nikaya: The Grouped Discourses,” Access to Insight (Legacy Edition), <a href='http://www.accesstoinsight.org/tipitaka/sn/index.html'>http://www.accesstoinsight.org/tipitaka/sn/index.html</a>."
101,English from Pali.,"Bodhi 2005, <i>The Connected Discourses of the Buddha: A New Translation of the Samyutta Nikaya</i>, Simon and Schuster."
120,English from Pali.,"Bodhi 1995, <i>The Middle Length Discourses of the Buddha: A Translation of the Majjhima Nikaya</i> Simon and Schuster."
120,Pali and English,"Thanissaro (trans.) 2003, ""Angulimala Sutta: About Angulimala"" (MN 86), Access to Insight (Legacy Edition), <a href=""http://www.accesstoinsight.org/tipitaka/mn/mn.086.than.html"">http://www.accesstoinsight.org/tipitaka/mn/mn.086.than.html</a>."
125,Pali and English,"Access to Insight 2013, “Anguttara Nikaya: The Further-factored Discourses,” Access to Insight (Legacy Edition), <a href='http://www.accesstoinsight.org/tipitaka/an/index.html'>http://www.accesstoinsight.org/tipitaka/an/index.html</a>."
125,English from Pali.,"Bodhi 2012, <i>The Numerical Discourses of the Buddha: A Complete Translation of the Anguttara Nikaya</i>, Simon and Schuster."
