reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
397,13,60,大方等大集經,Da Fang Deng Da JI Jing,Great Compilation,曇無讖,譯,Dharmakṣema,Translated,北涼,Northern Liang,414-426,,"Sanskrit title and date 414-426 from Lancaster (2004, 'K 56')",Korean Canon,http://tripitaka.cbeta.org/T13n0397,2016-09-10,Great Compilation
398,13,,,,,,,,,,,,,,,,,
399,13,,,,,,,,,,,,,,,,,
400,13,,,,,,,,,,,,,,,,,
401,13,,,,,,,,,,,,,,,,,
402,13,,,,,,,,,,,,,,,,,
403,13,,,,,,,,,,,,,,,,,
404,13,,,,,,,,,,,,,,,,,
405,13,,,,,,,,,,,,,,,,,
406,13,,,,,,,,,,,,,,,,,
407,13,,,,,,,,,,,,,,,,,
408,13,,,,,,,,,,,,,,,,,
409,13,,,,,,,,,,,,,,,,,
410,13,,,,,,,,,,,,,,,,,
411,13,,,,,,,,,,,,,,,,,
412,13,,,,,,,,,,,,,,,,,
413,13,,,,,,,,,,,,,,,,,
414,13,,,,,,,,,,,,,,,,,
415,13,,,,,,,,,,,,,,,,,
416,13,,,,,,,,,,,,,,,,,
417,13,,,,,,,,,,,,,,,,,
418,13,,,,,,,,,,,,,,,,,
419,13,,,,,,,,,,,,,,,,,
420,13,,,,,,,,,,,,,,,,,
421,13,,,,,,,,,,,,,,,,,
422,13,,,,,,,,,,,,,,,,,
423,13,,,,,,,,,,,,,,,,,
424,13,,,,,,,,,,,,,,,,,
