reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
2123,54,20,諸經要集,Zhu Jing Yao Ji,,道世,集,Dao Shi,Compiled,唐,Tang,659,,"Date 659 from Lancaster (2004, 'K 1052')",Korean Canon,http://tripitaka.cbeta.org/T54n2123,2016-11-01,Encyclopedia and Dictionaries and Outside Teachers
2124,54,1,法門名義集,Famen Mingyi Ji,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2125,54,4,南海寄歸內法傳,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2126,54,3,大宋僧史略,Da Song Seng Shi Lue,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2127,54,3,釋氏要覽,Shi Shi Yao Lan,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2128,54,100,一切經音義,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2129,54,10,續一切經音義,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2130,54,10,翻梵語,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2131,54,7,翻譯名義集,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2132,54,1,悉曇字記,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2133A,54,1,梵語千字文,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2133B,54,1,梵語千字文,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2134,54,1,唐梵文字,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2135,54,1,梵語雜名,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2136,54,1,唐梵兩語雙對集,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2137,54,3,金七十論,Jin Qi Shi Lun,Samkhya Karika,真諦,譯,Paramārtha,Translated,陳,Chen,557-569,"Central text of the orthodox Hindu Samkhya school, composed by Iswara Krishna.","Sanskrit title and date 557-569 from Lancaster (2004, 'K 1032')",Korean Canon,http://tripitaka.cbeta.org/T54n2137,2016-11-02,Encyclopedia and Dictionaries and Outside Teachers
2138,54,1,勝宗十句義論,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2139,54,2,老子化胡經,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2140,54,1,摩尼教下部讚,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2141A,54,1,摩尼光佛教法儀略,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2141B,54,1,波斯教殘經,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2142,54,1,序聽迷詩所經,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2143,54,1,景教三威蒙度讚,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
2144,54,1,大秦景教流行中國碑頌,,,,,,,,,,,,,,,Encyclopedia and Dictionaries and Outside Teachers
