reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
848,18,7,大毘盧遮那成佛神變加持經,dapiluzhena cheng fo shen bian jiachi jing,Mahāvairocanaabhisaṃbodhivikurvitādhiṣṭānavaipulya,善無畏．一行,譯,Śubhakarasiṃha and Yi Xing,Translated,唐,Tang,725,"The Vairocanāsaṃbodhi Sūtra is one of the foundational texts of East Asian Esoteric Buddhism. The initial format is a dialog between Vajrapāṇi Bodhisattva, who is given the epithet 持金剛祕密主 vajradhara, Lord of Secrets, and 大日如來 Vairocana, describing enlightenment. Transformations and empowerment of Mahāvairocana are also discussed. Details of construction of the 胎藏曼荼羅 Womb World Maṇḍala, called 大悲胎藏生大漫茶 Matrix of Great Compassion Mandala in the text, are described. The symbolism of many deities placed in the maṇḍala and ritual mudras are given. The meanings of Sanskrit characters used in the ritual chanting are explained. The text is classified as a caryatantra 'practice tantra.'",Sanskrit title and date 725 from Lancaster (2004),Korean Canon,http://tripitaka.cbeta.org/T18n0848,2016-09-28
849,18,1,大毘盧遮那佛說要略念誦經,Da Piluzhena Fo Shuo Yao Lue Niansong Jing,Mahavairocana Buddha Chanting Summary,菩提金剛,譯,Puti Jingang,Translated,唐,Tang,618-907,An abbridged version of Scroll 7 of Vairocana Sutra (T 848).,"This text does not appear in the Korean Canon. A note in the Taishō reads, ＜原＞大日本縮刷大藏經, 原本冠註曰此經依五部祕經載之 Source: Japanese Shukusatsu daizōkyō [Reduced Print Canon], the original version had a note that said it was written according to the five esoteric sutras.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0849,2016-09-28
850,18,3,攝大毘盧遮那成佛神變加持經入蓮華胎藏海會悲生曼荼攞廣大念誦儀軌供養方便會,She Da Piluzhena Cheng Fo Shenbian Jia Chi Jing Ru Lianhua Tai Cang Hai Hui Bei Sheng Man Tu Luo Guangda Niansong Yi Gui Gongyang Fangbian Hui ,Vairocana Sutra Lotus Platform Matrix Assembly Compassion Mandala Liturgy,輸婆迦羅,譯,Shupo Jialuo,Translated,唐,Tang,618-907,A chanting manual associated with the Vairocana Sutra (T 848).,"This text does not appear in the Korean Canon. A note in the Taishō reads, ＜原＞正徳元年刊豐山大學藏本, ＜甲＞平安時代寫高山寺藏本, ＜乙＞長元六年寫東寺三密藏本, 甲本此序無, 乙本首缺 Source: Buzan college Canon edition published in the first year of the Shōtoku era [1711]. 1. Takayama Temple edition copied in the Heian Period, 2. Tō-ji [temple] Sanmitsu edition copied in the sixth year of the Chōgen era [1028-1037], which lacks a preface present in the original.",Buzan college Canon,http://tripitaka.cbeta.org/T18n0850,2016-09-28
851,18,3,大毘盧遮那經廣大儀軌,Da Piluzhena Jing Guangda Yi Gui ,Vairocana Sutra Ritual Manual,善無畏,譯,Śubhakarasiṃha and Yi Xing,Translated,唐,Tang,618-907,A collection of mantras associated with the Vairocana Sutra (T 848).,"This text does not appear in the Korean Canon. A note in the Taishō reads,",Buzan college Canon,http://tripitaka.cbeta.org/T18n0851,2016-09-28
852A,18,2,大毘盧遮那成佛神變加持經蓮華胎藏悲生曼荼羅廣大成就儀軌供養方便會,Da Piluzhena Cheng Fo Shenbian Jia Chi Jing Lianhua Tai Cang Bei Sheng Mantuluo Guangda Chengjiu Yi Gui Gongyang Fangbian Hui ,Vairocana Sutra Lotus Platform Matrix Assembly Compassion Mandala Attainment Liturgy,法全,撰,Fa Quan,Compiled,唐,Tang,618-907,"One of the 胎藏四部儀軌 four rituals of the Garbhadhatu; a ritual associated with the Vairocana Sutra (T 848) and performed at 玄法寺 Xuan Fa Temple in Chang'an, where Fa Quan was abbot.","This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞正徳元年刊豐山大學藏本, ＜甲＞永久三年寫高山寺藏本, ＜乙＞永久六年寫高山寺藏本, 原本冠註曰別本注撰號曰玄法寺法全阿闍梨撰 Source: Buzan University edition published in the first year of the Shōtoku era [1711], 1. Takayama Temple edition, transcribed in the third year of the Eikyū era [1113-1118], 2. Takayama Temple edition copied in the sixth year of the Eikyū era noted to be from an original compiled by teacher Fa Quan of Xuan Fa Temple.",Buzan college Canon,http://tripitaka.cbeta.org/T18n0852a,2016-09-28
852B,18,2,大毘盧舍那成佛神變加持經蓮華胎藏悲生曼荼羅廣大成就儀軌,Da Pi Lushena Cheng Fo Shenbian Jia Chi Jing Lianhua Tai Cang Bei Sheng Mantuluo Guangda Chengjiu Yi Gui ,Vairocana Sutra Lotus Platform Matrix Assembly Compassion Mandala Attainment Ritual Manual,,,,,,,,See T 852A,"This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞正徳二年刊豊山大學藏本, ＜甲＞平安時代寫高山寺藏本 Source: Buzan college Canon version, published in the 2nd year of the Shōtoku era [1711-1716]; 1. Takayama Temple collection manuscript, Heian Period Notes: [794-1192].",Buzan college Canon,http://tripitaka.cbeta.org/T18n0852b,2016-09-28
853,18,3,大毘盧遮那成佛神變加持經蓮華胎藏菩提幢標幟普通真言藏廣大成就瑜伽,Da Piluzhena Cheng Fo Shenbian Jia Chi Jing Lianhua Tai Cang Puti Chuang Biao Zhi Putong Zhenyan Cang Guangda Chengjiu Yujia,"Vairocana Sutra Lotus Matrix,  Bodhi Banner Mantra Collection and Attainment Yoga",法全,集,Fa Quan,Compiled,唐,Tang,618-907,A ritual manual associated with the Vairocana Sutra (T 848).,"This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞正徳二年刊豊山大學藏本, ＜甲＞平安時代寫高山寺藏本 Source: Buzan University edition published in the second year of the Shōtoku era [1711]. 1. Takayama Temple edition, transcribed in the Heian Period.",Buzan college Canon,http://tripitaka.cbeta.org/T18n0853,2016-09-28
854,18,2,胎藏梵字真言,Tai Cang Fan Zi Zhenyan,Womb Matrix Sansrkit Mantra,失,譯,Unknown,Translated,,,,Contains Siddham characters for mantras in the 大日經類 Vairocana Sutra.,"This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞平安時代寫興然本東寺三密藏藏本, ＜甲＞平安時代淳祐寫石山寺藏本 Source: Tō-ji [temple] manuscript transcribed by Kōzen, Sanmitsu Canon version, Heian Period. 1. Manuscript transcribed by Shunnyū,  Ishiyama-dera edition in the Heian Period.",Sanmitsu Canon,http://tripitaka.cbeta.org/T18n0854,2016-09-28
855,18,1,青龍寺軌記,Qing Long Si Gui Ji ,Qing Long Temple Ritual Manual,青龍寺,軌記,Qing Long Temple,Ritual Manual,,,,A continuation of the description of rituals from T 852; text included within the 大日經類 Vairocana Sutra group of sutras.,"This text does not appear in the Korean Canon. A Taishō footnote for T 855 reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera [temple] edition, printed in the first year of the Kyōwa era (1801).",Hase-dera,http://tripitaka.cbeta.org/T18n0855,2016-09-28
856,18,1,大毘盧遮那成佛神變加持經略示七支念誦隨行法,Da Piluzhena Cheng Fo Shenbian Jia Chi Jing Lue Shi Qi Zhi Niansong Suixing Fa,Vairocana Sutra Seven Branches Short Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,A text included within the 大日經類 Vairocana Sutra group of sutras.,"Date 720-774 from Lancaster (2004, 'K 1364')",Korean Canon,http://tripitaka.cbeta.org/T18n0856,2016-09-28
857,18,1,大日經略攝念誦隨行法,Dari Jing Lue She Niansong Suixing Fa,Vairocana Sutra Abbreviated Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,A summary of 大日經類 Vairocana Sutra (T 848).,"Date 720-774 from Lancaster (2004, 'K 1362')",Korean Canon,http://tripitaka.cbeta.org/T18n0857,2016-09-28
858,18,1,大毘盧遮那略要速疾門五支念誦法,Da Piluzhena Lue Yao Su Ji Men Wu Zhi Niansong Fa,Mahavairocana abbreviated Five Branch Healing Liturgy,,,,,,,,Content closely related to T 857.,This text does not appear in the Korean Canon. A Taishō footnote for T 858 reads: ＜原＞大日本續藏經 Source: Dai Nippon Zokuzōkyō.,Dai Nippon Zokuzōkyō,http://tripitaka.cbeta.org/T18n0858,2016-09-28
859,18,1,供養儀式,Gongyang Yishi,Offering Rituals,,,,,,,,Descriptions of mudras and rlated ritual procedures.,"This text does not appear in the Korean Canon. The text includes Siddham characters and pictures of mudras. A Taishō footnote for T 859 reads: ＜原＞縮刷大藏經, ＜甲＞承安五年玄證傳受本高山寺藏本, ＜乙＞平安時代寫高山寺藏本 Source: Shukusatsu daizōkyō (Reduced Print Canon); 1. mysteriously recorded as recieved into to Takayama Temple edition in the fifth year of the Jōan era [1171-1175], 2. transcribed into the Takayama Temple edition in the Heian Period [794－1192].",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0859,2016-09-28
860,18,1,大日經持誦次第儀軌,Dari Jing Chi Song Cidi Yi Gui,Vairocana Sutra Chanting and Ritual Manual,,,,,,,,"A text passed down from the Shingon Buzan school, included within the 大日經類 Vairocana Sutra group of sutras.",This text does not appear in the Korean Canon. A Taishō footnote for T 860 reads: ＜原＞豊山版 Source: Buzan edition,Buzan college Canon,http://tripitaka.cbeta.org/T18n0860,2016-09-28
