reference_no,citation
848,"Abé, R 1999, p. 550."
848,"FGDB, s.v. 大日經."
848,"Goble 2019, pp. 25-69"
848,"Lancaster 2004, s.v. K 427"
848,"Wayman, Alex and Ryujun Tajima 1992, The Enlightenment of Vairocana, Delhi: Motilal Banarsidass Publishers."
848,"Metropolitan Museum of Art 2009, Womb World Mandala, https://www.metmuseum.org/art/collection/search/75348 , accessed 2021-09-14"
848,"Nanjio 1883, p. 122."
849,"Giebel 2005, p. xv"
850,"Giebel 2005, p. xv"
851,"Sørensen 2011b, pp. 599-600"
851,"Giebel 2005, p. xv"
852a,FGDB s.v. 玄法寺儀軌
852a,"Giebel 2005, p. xv"
852b,"Giebel 2005, p. xv"
852b,"Giebel 2011, pp. 27-36."
853,"Giebel 2005, p. xv"
854,"Giebel, 2011, pp. 27-36."
855,FGDB s.v. 青龍寺儀軌.
855,"Giebel, 2011, pp. 27-36."
856,"Giebel, 2011, pp. 27-36."
856,"Lancaster 2004, 'K 1364'"
856,"Nanjio 1883, p. 311, no. 1395."
857,"Giebel, 2011, pp. 27-36."
857,"Lancaster 2004, 'K 1362'."
857,"Nanjio 1883, p. 312, no. 1404."
858,"Giebel, 2011, pp. 27-36."
859,"Giebel, 2011, pp. 27-36."
860,"Giebel, 2011, pp. 27-36."
861,"Giebel, 2011, pp. 27-36."
862,"Giebel, 2011, pp. 27-36."
863,"Giebel, 2011, pp. 27-36."
863,"Sørensen 2011c, p. 301."
864A,"Giebel, 2011, pp. 27-36."
864B,"Giebel, 2011, pp. 27-36."
865,FGDB s.v. 金剛頂一切如來真實攝大乘現證大教王經
865,"Goble, G. C. 2019, pp. 25-69"
865,"Lancaster 2004, 'K 1274'"
865,Snellgrove 1987.
866,"Abé, R 1999, p. 546."
866,"Giebel 2001, p. 6."
866,"Goble 2019, pp. 32-34, 138-140"
866,"Giebel, 2011, pp. 27-36."
866,"Lancaster 2004, 'K 429'"
867,"Giebel, 2011, pp. 27-36."
867,"FGDB, s.v. 瑜祇經"
868,"Giebel, 2011, pp. 27-36."
869,"Abé, R 1999, p. 545."
869,FGDB s.v. 金剛頂經瑜伽十八會指歸
869,"Goble 2019, pp. 50-54"
869,"Lancaster 2004, 'K 1289'"
870,"Abé, R 1999, p. 547."
870,"Giebel, 2011, pp. 27-36."
870,"Lancaster 2004, 'K 1291'"
871,FGDB s.v. 金剛頂瑜伽略述三十七尊心要
871,"Giebel, 2011, pp. 27-36."
872,FGDB s.v. 金剛界三十七尊
872,"Giebel, 2011, pp. 27-36."
873,FGDB s.v. 金剛頂蓮華部心念誦儀軌
873,"Giebel, 2011, pp. 27-36."
873,"Lancaster 2004, 'K 1310'"
873,"Nanjio 1883, p. 318"
874,"Abé, R 1999, p. 545."
874,"Giebel, 2011, pp. 27-36."
874,"Goble 2019, pp. 94-96; pp. 151-155; pp. 275-278"
875,"Giebel, 2011, pp. 27-36."
876,"Giebel, 2011, pp. 27-36."
876,"Lancaster 2004, 'K 1268'"
877,"Giebel, 2011, pp. 27-36."
878,FGDB s.v. 五悔
878,"Giebel, 2011, pp. 27-36."
878,"Lancaster 2004, 'K 1332'"
879,"Giebel, 2011, pp. 27-36."
880,"Abé, R 1999, p. 550."
880,"Nanjio 1883, pp. 231-232."
880,"Giebel, 2011, pp. 27-36."
880,"Lancaster 2004, 'K 1370'"
881,FGDB s.v. 賢劫十六尊
881,"Giebel, 2011, pp. 27-36."
882,"Giebel 2001, p. 6."
882,"Giebel, 2011, pp. 27-36."
882,"Orzech 2011c, p. 442"
882,"Lancaster 2004, 'K 1466'"
883,FGDB s.v. 教王經.
883,"Giebel, 2011, pp. 27-36."
883,"Lancaster 2004, 'K 1454'."
884,"Giebel, 2011, pp. 27-36."
884,"Lancaster 2004, 'K 1462'"
885,"BL, s.v. ''Guhyasamājatantra', pp. 334-335"
885,"Lancaster 2004, 'K 1418'"
885,"Giebel, 2011, pp. 27-36."
885,"Powell 2007, p. 286"
885,Wayman 1977.
886,"Giebel, 2011, pp. 27-36."
886,"Lancaster 2004, 'K 1442'"
887,"Giebel, 2011, pp. 27-36."
887,"Lancaster 2004, 'K 1434'"
888,"Lancaster 2004, 'K 1452"
888,"Nakamura 1987, p. 335"
888,"Nanjio 1883, p. 309."
888,"Giebel, 2011, pp. 27-36."
889,"FGDB, s.v. 一切如來大祕密王未曾有最上微妙大曼拏羅經"
889,"Giebel, 2011, pp. 27-36."
889,"Lancaster 2004, 'K 1155'."
889,"Orzech 2011c, p. 449"
890,"Lancaster 2004, 'K 1220'"
890,"Giebel, 2011, pp. 27-36."
891,"Giebel, 2011, pp. 27-36"
891,"Nanjio 1883, p. 234."
891,"Lancaster 2004, 'K 1220'"
891,FGDB s.v. 大幻化網導引法.
892,"BL 'Hevajratantra', p. 349"
892,FGDB s.v. 大悲空智金剛大教王儀軌經.
892,"Giebel, 2011, pp. 27-36"
892,"Keyworth 2011, p. 437"
