reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
152,3,8,六度集經,Liu Du Ji Jing,Scripture on the Collection of the Six Perfections,康僧會,譯,Kang Seng Hui,Translated,吳,Wu,251,,"Date 251 from Lancaster (2004, 'K 206')",Korean Canon,http://tripitaka.cbeta.org/T03n0152,2016-07-05,Jataka and Avadana
153,3,3,菩薩本緣經,Pusa Benyuan Jing,,支謙,譯,Zhi Qian,Translated,吳,Wu,223-253,,"Date 223-253 from Lancaster (2004, 'K 988')",Korean Canon,http://tripitaka.cbeta.org/T03n0153,2016-07-05,Jataka and Avadana
154,3,5,生經,Sheng Jing,Jātaka stories,竺法護,譯,Dharmarakṣa,Translated,西晉,Western Jin,285,,"Date 285 from Lancaster (2004, 'K 799')",Korean Canon,http://www.acmuller.net/descriptive_catalogue,2016-07-05,Jataka and Avadana
155,3,,,,,,,,,,,,,,,,,
156,3,,,,,,,,,,,,,,,,,
157,3,,,,,,,,,,,,,,,,,
158,3,,,,,,,,,,,,,,,,,
159,3,,,,,,,,,,,,,,,,,
160,3,,,,,,,,,,,,,,,,,
161,3,,,,,,,,,,,,,,,,,
162,3,,,,,,,,,,,,,,,,,
163,3,,,,,,,,,,,,,,,,,
164,3,,,,,,,,,,,,,,,,,
165,3,,,,,,,,,,,,,,,,,
166,3,,,,,,,,,,,,,,,,,
167,3,,,,,,,,,,,,,,,,,
168,3,,,,,,,,,,,,,,,,,
169,3,,,,,,,,,,,,,,,,,
170,3,,,,,,,,,,,,,,,,,
171,3,,,,,,,,,,,,,,,,,
172,3,,,,,,,,,,,,,,,,,
173,3,,,,,,,,,,,,,,,,,
174,3,,,,,,,,,,,,,,,,,
175A,3,,,,,,,,,,,,,,,,,
175B,3,,,,,,,,,,,,,,,,,
175C,3,,,,,,,,,,,,,,,,,
176,3,,,,,,,,,,,,,,,,,
177,3,,,,,,,,,,,,,,,,,
178,3,,,,,,,,,,,,,,,,,
179,3,,,,,,,,,,,,,,,,,
180,3,,,,,,,,,,,,,,,,,
181A,3,,,,,,,,,,,,,,,,,
181B,3,,,,,,,,,,,,,,,,,
182A,3,,,,,,,,,,,,,,,,,
182B,3,,,,,,,,,,,,,,,,,
183,3,,,,,,,,,,,,,,,,,
184,3,,,,,,,,,,,,,,,,,
185,3,,,,,,,,,,,,,,,,,
186,3,,,,,,,,,,,,,,,,,
187,3,,,,,,,,,,,,,,,,,
188,3,,,,,,,,,,,,,,,,,
189,3,,,,,,,,,,,,,,,,,
190,3,,,,,,,,,,,,,,,,,
191,3,,,,,,,,,,,,,,,,,
192,4,,,,,,,,,,,,,,,,,
193,4,,,,,,,,,,,,,,,,,
194,4,,,,,,,,,,,,,,,,,
195,4,,,,,,,,,,,,,,,,,
196,4,,,,,,,,,,,,,,,,,
197,4,,,,,,,,,,,,,,,,,
198,4,,,,,,,,,,,,,,,,,
199,4,,,,,,,,,,,,,,,,,
200,4,,,,,,,,,,,,,,,,,
201,4,,,,,,,,,,,,,,,,,
202,4,,,,,,,,,,,,,,,,,
203,4,,,,,,,,,,,,,,,,,
204,4,,,,,,,,,,,,,,,,,
205,4,,,,,,,,,,,,,,,,,
206,4,,,,,,,,,,,,,,,,,
207,4,,,,,,,,,,,,,,,,,
208,4,,,,,,,,,,,,,,,,,
209,4,,,,,,,,,,,,,,,,,
210,4,,,,,,,,,,,,,,,,,
211,4,,,,,,,,,,,,,,,,,
212,4,,,,,,,,,,,,,,,,,
213,4,,,,,,,,,,,,,,,,,
214,4,,,,,,,,,,,,,,,,,
215,4,,,,,,,,,,,,,,,,,
216,4,,,,,,,,,,,,,,,,,
217,4,,,,,,,,,,,,,,,,,
218,4,,,,,,,,,,,,,,,,,
219,4,,,,,,,,,,,,,,,,,
