reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
262,9,7,妙法蓮華經,Miaofa Lianhua Jing,Lotus Sūtra,鳩摩羅什,譯,Kumārajīva,Translated,姚秦,Later Qin,406,This is the popular translation of the Lotus Sūtra.,"Date 406 and Sanskrit title from Lancaster (2004, 'K 116')",Korean Canon,http://tripitaka.cbeta.org/T09n0262,2016-08-03,Lotus and Huayan
263,9,,,,,,,,,,,,,,,,,
264,9,,,,,,,,,,,,,,,,,
265,9,,,,,,,,,,,,,,,,,
266,9,,,,,,,,,,,,,,,,,
267,9,,,,,,,,,,,,,,,,,
268,9,,,,,,,,,,,,,,,,,
269,9,,,,,,,,,,,,,,,,,
270,9,,,,,,,,,,,,,,,,,
271,9,,,,,,,,,,,,,,,,,
272,9,,,,,,,,,,,,,,,,,
273,9,,,,,,,,,,,,,,,,,
274,9,,,,,,,,,,,,,,,,,
275,9,,,,,,,,,,,,,,,,,
276,9,,,,,,,,,,,,,,,,,
277,9,,,,,,,,,,,,,,,,,
278,9,,,,,,,,,,,,,,,,,
279,10,,,,,,,,,,,,,,,,,
280,10,,,,,,,,,,,,,,,,,
281,10,,,,,,,,,,,,,,,,,
282,10,,,,,,,,,,,,,,,,,
283,10,,,,,,,,,,,,,,,,,
284,10,,,,,,,,,,,,,,,,,
285,10,,,,,,,,,,,,,,,,,
286,10,,,,,,,,,,,,,,,,,
287,10,,,,,,,,,,,,,,,,,
288,10,,,,,,,,,,,,,,,,,
289,10,,,,,,,,,,,,,,,,,
290,10,,,,,,,,,,,,,,,,,
291,10,,,,,,,,,,,,,,,,,
292,10,,,,,,,,,,,,,,,,,
293,10,,,,,,,,,,,,,,,,,
294,10,,,,,,,,,,,,,,,,,
295,10,,,,,,,,,,,,,,,,,
296,10,,,,,,,,,,,,,,,,,
297,10,,,,,,,,,,,,,,,,,
298,10,,,,,,,,,,,,,,,,,
299,10,,,,,,,,,,,,,,,,,
300,10,,,,,,,,,,,,,,,,,
301,10,,,,,,,,,,,,,,,,,
302,10,,,,,,,,,,,,,,,,,
303,10,,,,,,,,,,,,,,,,,
304,10,,,,,,,,,,,,,,,,,
305,10,,,,,,,,,,,,,,,,,
306,10,,,,,,,,,,,,,,,,,
307,10,,,,,,,,,,,,,,,,,
308,10,,,,,,,,,,,,,,,,,
309,10,,,,,,,,,,,,,,,,,
