reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1564,30,4,中論,Zhong Lun,Fundamental Verses on the Middle Way,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,,"Nāgārjuna, explained by Piṅgala, translated by Kumārajīva",,姚秦,Later Qin,409,,"Sanskrit title and date 409 from Lancaster (2004, 'K 577')",Korean Canon,http://tripitaka.cbeta.org/T30n1564,2016-10-16,Madhyamaka and Yogācāra
1565,30,,,,,,,,,,,,,,,,,
1566,30,,,,,,,,,,,,,,,,,
1567,30,,,,,,,,,,,,,,,,,
1568,30,,,,,,,,,,,,,,,,,
1569,30,,,,,,,,,,,,,,,,,
1570,30,,,,,,,,,,,,,,,,,
1571,30,,,,,,,,,,,,,,,,,
1572,30,,,,,,,,,,,,,,,,,
1573,30,,,,,,,,,,,,,,,,,
1574,30,,,,,,,,,,,,,,,,,
1575,30,,,,,,,,,,,,,,,,,
1576,30,,,,,,,,,,,,,,,,,
1577,30,,,,,,,,,,,,,,,,,
1578,30,,,,,,,,,,,,,,,,,
1579,30,,,,,,,,,,,,,,,,,
1580,30,,,,,,,,,,,,,,,,,
1581,30,,,,,,,,,,,,,,,,,
1582,30,,,,,,,,,,,,,,,,,
1583,30,,,,,,,,,,,,,,,,,
1584,30,,,,,,,,,,,,,,,,,
