reference_no,title
427,Aṣṭabuddhaka
428,Aṣṭabuddhaka
429,Aṣṭabuddhaka
430,Aṣṭabuddhaka
434,Ratnajālīparipṛcchā
435,Ratnajālīparipṛcchā
449,Bhaiṣajyagurupūrvapraṇidhānaviśeṣavistara
450,Bhaiṣajyaguruvaiḍūryaprabhāsapūrvapraṇidhānaviśeṣavistara
451,Saptatathāgatapūrvapraṇidhānaviśeṣavistara
452,彌勒上生經 Maitreya Ascends to be Born in Tusita Heaven
454,Maitreyavyākaraṇa
455,Maitreyavyākaraṇa
457,Maitreyavyākaraṇa
462,Ratnakāraṇḍa
464,Gayāśīrṣasūtra
465,Gayāśīrṣasūtra
466,Gayāśīrṣasūtra
467,Gayāśīrṣasūtra
468,Mañjuśrīparipṛcchā
470,Mañjuśrīvihārasūtra
471,Mañjuśrīvihārasūtra
472,Bodhipakṣanirdeśa
474,Vimalakīrtinirdeśasūtra
475,Vimalakīrtinirdeśasūtra
476,Vimalakīrtinirdeśasūtra
