reference_no,citation,location
425,Lancaster 2004,K 387
425,Nanjio 1883,p. 99
426,Lancaster 2004,K 452
426,Nanjio 1883,p. 118
427,Lancaster 2004,K 271
427,Nanjio 1883,p. 77
428,Lancaster 2004,K 276
428,Nanjio 1883,p. 77
429,Lancaster 2004,K 493
429,Nanjio 1883,p. 100
430,Lancaster 2004,K 286
430,Nanjio 1883,p. 77
431,Lancaster 2004,K 282
431,Nanjio 1883,p. 78
432,Lancaster 2004,K 508
432,Nanjio 1883,p. 102
433,Lancaster 2004,K 354
433,Nanjio 1883,p. 95
434,Lancaster 2004,K 371
434,Nanjio 1883,p. 98
435,Lancaster 2004,K 464
435,Nanjio 1883,p. 119
450,Lancaster 2004,K 177
488,Lancaster 2004,K 1227
