reference_no,type,citation
450,Full,"Chow Su-Chia and Shen Shou Liang 2004, <i>The Sutra of the Master of Healing</i>, Buddha Dharma Education Association, <a href='http://enlight.lib.ntu.edu.tw/FULLTEXT/JR-MISC/misc140031.pdf'>http://enlight.lib.ntu.edu.tw/FULLTEXT/JR-MISC/misc140031.pdf</a>."
450,Full,"Hsing Yun, Brenda Bolinger (trans.), Robin Stevens (trans.), Pey-Rong Lee (trans.) 2005, <i>Sutra of the Medicine Buddha: With an Introduction, Comments and Prayers</i>, Hacienda Heights, California: Buddha's Light Publishing; Revised Edition."
450,Full,"Thanh, Minh, and P. D. Leigh. 2001. <i>Sutra of the Medicine Buddha</i>. Taipei: The Corporate Body of the Buddha Educational Foundation."
454,Full,"Iida, Shotaro, Jane Goldstone, and John R. McRae 2016, <i>The Sutra That Expounds the Descent of Maitreya Buddha and His Enlightenment and The Sutra of Mañjuśrī’s Questions</i>, Berkeley: Bukkyō Dendō Kyōkai America, Inc., <a href='https://www.bdkamerica.org/product/the-sutra-that-expounds-the-descent-of-maitreya-buddha-and-his-enlightenment-and-the-sutra-of-manjusris-questions/'>https://www.bdkamerica.org/product/the-sutra-that-expounds-the-descent-of-maitreya-buddha-and-his-enlightenment-and-the-sutra-of-manjusris-questions/</a>."
456,Full,"Rulu 2012, “Buddha Pronounces the Sūtra of Maitreya’s Attainment of Buddhahood,” In: <i>Teachings of the Buddha</i>, Bloomington: Author House, pp. 78-96."
468,Full,"Iida, Shotaro, Jane Goldstone, and John R. McRae 2016, <i>The Sutra That Expounds the Descent of Maitreya Buddha and His Enlightenment and The Sutra of Mañjuśrī’s Questions</i>, Berkeley: Bukkyō Dendō Kyōkai America, Inc., <a href='https://www.bdkamerica.org/product/the-sutra-that-expounds-the-descent-of-maitreya-buddha-and-his-enlightenment-and-the-sutra-of-manjusris-questions/'>https://www.bdkamerica.org/product/the-sutra-that-expounds-the-descent-of-maitreya-buddha-and-his-enlightenment-and-the-sutra-of-manjusris-questions/</a>."
463,Full,"Quinter, David 2010, “Visualizing the Mañjuśrī Parinirvāṇa Sutra as a Contemplation Sutra,” <i>Asia Major</i>, pp.97-128."
468,Full,"Iida, Shotaro, Jane Goldstone, and John R. McRae 2016, <i>The Sutra That Expounds the Descent of Maitreya Buddha and His Enlightenment and The Sutra of Mañjuśrī’s Questions</i>, Berkeley: Bukkyō Dendō Kyōkai America, Inc., <a href='https://www.bdkamerica.org/product/the-sutra-that-expounds-the-descent-of-maitreya-buddha-and-his-enlightenment-and-the-sutra-of-manjusris-questions/'>https://www.bdkamerica.org/product/the-sutra-that-expounds-the-descent-of-maitreya-buddha-and-his-enlightenment-and-the-sutra-of-manjusris-questions/</a>."
475,Full,"Luk, Charles, 2002, <i>Ordinary enlightenment: a translation of Vimalakīrti Nirdeśa Sūtra</i>, Boston: Shambhala. The author is also known as Lu, Kʻuan Yü."
475,Full,"Paul, Diana Y., and John R. McRae 2004, <i>The Sutra of Queen Śrīmālā of the Lion's Roar</i>. The Vimalakīrti Sutra / transl. from the Chinese (Taishō volume 14, number 475) by John R. McRae. Berkeley, Calif: Numata Center for Buddhist Translation and Research."
475,Full,"Watson, Burton 1997, <i>The Vimalakirti Sutra</i>, New York: Columbia University Press."
642,Full,"McRae, John R 1998, <i>The Surangama Samadhi Sutra</i>, Berkeley: Numata Center for Buddhist Translation and Research."
670,Full,"Nanjio, Bunyiu 1956, <i>The Lankavatara Sutra</i>. Kyoto: Otani University Press."
670,Full,"Red Pine 2012, <i>The Lankavatara Sutra: a Zen text</i>, Berkeley: Counterpoint."
670,Full,"Suzuki, Daisetz Teitaro 1932, <i>The Lankavatara Sutra; a Mahayana Text</i>, London: G. Routledge and Sons."
684,Full,"Yifa and Peter M. Romaskiewicz 2008, “Sutra on the Difficulty of Repaying the Kindness of Parents,” In: <i>The Yulan Bowl Sutra and Collection of Filial Piety Sutras</i>, Taiwan: Buddha's Light Publishing, Woodenfish Translation Series."
685,Full,"Yifa and Peter M. Romaskiewicz 2008, “Yulan Bowl Sutra,” In: <i>The Yulan Bowl Sutra and Collection of Filial Piety Sutras</i>, Taiwan: Buddha's Light Publishing, Woodenfish Translation Series."
784,Full,"Beal, S 1862, “The Sutra of the Forty-Two Sections, from the Chinese,” <i>Journal of the Royal Asiatic Society of Great Britain and Ireland</i>, 19: 337-349."
784,Full,"Cleary, J. C. 2005, <i>Apocryphal Scriptures</i>, Berkeley, Calif: Numata Center for Buddhist Translation and Research."
784,Full,"Hsüan Hua, Kaśyapa Mataṅga, and Gobharana 2008, <i>Sutra in Forty-Two Sections Spoken by the Buddha: a General Explanation</i>, Ukiah, CA: Buddhist Text Translation Society."
842,Full,"Gregory, Peter 2005, “The Sutra of Perfect Enlightenment,” In: <i>Apocryphal Scriptures</i>, Berkeley: Numata Center for Buddhist Translation and Research."
842,Full,"Muller, A. Charles 1999, <i>The Sutra of Perfect Enlightenment: Korean Buddhism’s Guide to Meditation</i> (with Commentary by the Son Monk Kihwa), SUNY Press: Albany, New York."
