reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
220,5-7,600,大般若波羅蜜多經,Da Boreluomiduo Jing,The Large Sutra Perfection of Wisdom,玄奘,譯,Xuan Zang,Translated,唐,Tang,660-663,,"Also known as the Mahāprajñāpāramitāsūtra, translation 660-663 (Lancaster, 2004, 'K 1')",Korean Canon,http://tripitaka.cbeta.org/T07,2016-07-08,Prajnaparamita
221,8,20,放光般若經,Fang Guang Bore Jing,,無羅叉,譯,Mokṣala,Translated,西晉,Western Jin,291,A sūtra in the prajñāpāramitā tradition.,"Translated in 291 (Lancaster, 2004, 'K 2')",Korean Canon,http://tripitaka.cbeta.org/T08n0221,2016-07-08,Prajnaparamita
222,8,10,光讚經,Guang Zan Jing,In Praise of Light,竺法護譯,譯,Dharmarakṣa,Translated,西晉,Western Jin,286,A sūtra in the prajñāpāramitā tradition.,"Translated in 286 (Lancaster, 2004, 'K 4')",Korean Canon,http://tripitaka.cbeta.org/T08n0221,2016-07-08,Prajnaparamita
223,8,27,摩訶般若波羅蜜經,Mohe Boreluomi Jing,"The Perfection of Wisdom in 25,000 Lines",鳩摩羅什,譯,Kumārajīva,Translated,後秦,Later Qin,404,"This sūtra, is one of the three key large prajñāpāramitāsūtras. The other two are the Aṣṭasāhasrikāprajñāpāramitāsūtra or or Perfection of Wisdom in Eight Thousand Lines 小品般若波羅蜜經, and The Large Sūtra Perfection of Wisdom 大般若波羅蜜多經 (Buswell and Lopez, 2014, 'Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra').","Translated in 404 (Lancaster, 2004, 'K 3')",Korean Canon,http://tripitaka.cbeta.org/T08n0223,2016-07-08,Prajnaparamita
224,8,10,道行般若經,Daoxing Bore Jing,Practice of the Way,支婁迦讖,譯,Lokakṣema,Translated,後漢,Later Han,,"This is first translation of the Perfection of Wisdom in Eight Thousand Lines or the Aṣṭasāhasrikā Prajñāpāramitā into Chinese by Lokakṣema in 179. (Conze, 1973, p. xi; Lancaster, 2004, 'K 6') This sūtra is thought to be the earliest Prajñāpāramitāsūtra and Mahāyāna sūtra translated into Chinese (Lancaster, 1975; Buswell and Lopez, 2014, 'Aṣṭasāhasrikāprajñāpāramitā').","Based on the version in the Korean canon (Lancaster, 2004, 'K 6')",Korean Canon,http://tripitaka.cbeta.org/T08n0224,2016-07-08,Prajnaparamita
225,8,6,大明度經,Da Ming Du Jing,,支謙,譯,Zhi Qian,Translated,吳,Wu,223-253,"This is second translation of the Perfection of Wisdom in Eight Thousand Lines or the Aṣṭasāhasrikā Prajñāpāramitā into Chinese by Zhi Qian in 222-229. (Conze, 1973, p. xi; Lancaster, 1975).","Translated 223-253 (Lancaster, 2004, 'K 9')",Korean Canon,http://tripitaka.cbeta.org/T08n0225,2016-07-08,Prajnaparamita
226,8,5,摩訶般若鈔經,"Mohe Bore Chao Jing,",,曇摩蜱共竺佛念,譯,Dharmapriya and Fo Nian,Translated,前秦,Former Qin,382,"This is third translation of the Perfection of Wisdom in Eight Thousand Lines or the Aṣṭasāhasrikā Prajñāpāramitā into Chinese by Dharmapriya 曇摩蜱 and Fo Nian 竺佛念 in 382 (Lancaster, 1975).","Translated into Chinese in 382 (Lancaster, 2004, 'K 5')",Korean Canon,http://tripitaka.cbeta.org/T08n0226,2016-07-08,Prajnaparamita
227,8,10,小品般若波羅蜜經,Xiaopin Boreiluomi Jing,Sutra of Perfection of Wisdom in Eight Thousand Lines,鳩摩羅什,譯,Kumārajīva,Translated,後秦,Later Qin,408,"This sūtra is a version of the Aṣṭasāhasrikāprajñāpāramitāsūtra or Aṣṭa for short, is thought to be the earliest prajñāpāramitāsūtra sūtra. (Buswell and Lopez, 2014, 'Aṣṭasāhasrikāprajñāpāramitā')","Translation was performed in 408 (Lancaster 2004, 'K 7')",Korean Canon,http://tripitaka.cbeta.org/T08n0227,2016-07-08,Prajnaparamita
228,8,,,,,,,,,,,,,,,,,
229,8,,,,,,,,,,,,,,,,,
230,8,,,,,,,,,,,,,,,,,
231,8,,,,,,,,,,,,,,,,,
232,8,,,,,,,,,,,,,,,,,
233,8,,,,,,,,,,,,,,,,,
234,8,,,,,,,,,,,,,,,,,
235,8,,,,,,,,,,,,,,,,,
236,8,,,,,,,,,,,,,,,,,
237,8,,,,,,,,,,,,,,,,,
238,8,,,,,,,,,,,,,,,,,
239,8,,,,,,,,,,,,,,,,,
240,8,,,,,,,,,,,,,,,,,
241,8,,,,,,,,,,,,,,,,,
242,8,,,,,,,,,,,,,,,,,
243,8,,,,,,,,,,,,,,,,,
244,8,,,,,,,,,,,,,,,,,
245,8,,,,,,,,,,,,,,,,,
246,8,,,,,,,,,,,,,,,,,
247,8,,,,,,,,,,,,,,,,,
248,8,,,,,,,,,,,,,,,,,
249,8,,,,,,,,,,,,,,,,,
250,8,,,,,,,,,,,,,,,,,
251,8,,,,,,,,,,,,,,,,,
252,8,,,,,,,,,,,,,,,,,
253,8,,,,,,,,,,,,,,,,,
254,8,,,,,,,,,,,,,,,,,
255,8,,,,,,,,,,,,,,,,,
256,8,,,,,,,,,,,,,,,,,
257,8,,,,,,,,,,,,,,,,,
258,8,,,,,,,,,,,,,,,,,
259,8,,,,,,,,,,,,,,,,,
260,8,,,,,,,,,,,,,,,,,
261,8,,,,,,,,,,,,,,,,,
