reference_no,language,citation
220,English from Sanskrit,"Conze, E. 1985 <i>The Large Sutra on Perfect Wisdom: With the Divisions of the Abhisamayalankara</i>, University of California Press."
224,English from Sanskrit,"Conze, E. 1973 <i>The Perfection of Wisdom in Eight Thousand Lines and its Verse Summary</i>, Four Seasons Foundation."
225,English from Sanskrit,"Conze, E. 1973 <i>The Perfection of Wisdom in Eight Thousand Lines and its Verse Summary</i>, Four Seasons Foundation."
226,English from Sanskrit,"Conze, E. 1973 <i>The Perfection of Wisdom in Eight Thousand Lines and its Verse Summary</i>, Four Seasons Foundation."
227,English from Sanskrit,"Conze, E. 1973 <i>The Perfection of Wisdom in Eight Thousand Lines and its Verse Summary</i>, Four Seasons Foundation."
227,Sanskrit,"Vaidya, P.L. 1961, <i>Aṣṭasāhasrikā prajñāpāramitā</i>, Darbhanga: The Mithila Institute of Post-Graduate Studies and Research in Sanskrit Learning, University of the West Digital Sanskrit Buddhist Canon, <a href='http://www.dsbcproject.org/canon-text/book/68'>http://www.dsbcproject.org/canon-text/book/68</a>."
227,Tibetan,"BDRC, <a href='https://library.bdrc.io/show/bdr:MW1KG13701'>phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa'</a>, accessed 2021-02-25."
235,Sanskrit,"Vaidya, P.L. 1961, vajracchedikā nāma triśatikā prajñāpāramitā, <i>Mahāyāna-sūtra-saṃgrahaḥ ( part 1)</i>, Darbhanga: The Mithila Institute of Post-Graduate Studies and Research in Sanskrit Learning, University of the West Digital Sanskrit Buddhist Canon, <a href='http://www.dsbcproject.org/canon-text/content/76/633'>http://www.dsbcproject.org/canon-text/content/76/633</a>."
235,Tibetan,"BDRC, <a href='https://library.bdrc.io/show/bdr:WA0RK0016?tabs=bdr:MW1KG12671_0124'>'phags pa shes rab kyi pha rol tu phyin pa rdo rje gcod pa zhes bya ba theg pa chen po'i mdo</a>, accessed 2021-02-24."
251,Tibetan,"BDRC, bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po, <a href='https://library.bdrc.io/show/bdr:WA0RK0529'>https://library.bdrc.io/show/bdr:WA0RK0529</a>, accessed 2021-02-26."
251,English from Sanksrit,"Conze, E. 1958, <i>Buddhist Wisdom: The Diamond Sūtra and the Heart Sūtra</i>. Unwin Paperbacks, London."
251,Sanskrit,"Vaidya, P.L (ed.), 1961, “Prajñāpāramitāhṛdayasūtram,” in <i>Mahāyāna-sūtra-saṃgrahaḥ ( part 1)</i>, Darbhanga: The Mithila Institute of Post-Graduate Studies and Research in Sanskrit Learning, at Digital Sanskrit Buddhist Canon, <a href='http://www.dsbcproject.org/canon-text/book/70'>http://www.dsbcproject.org/canon-text/book/70</a>, University of the West, accessed 2021-02-26."
