reference_no,title
311,Trisaṃvaranirdeśaparivarta
311,三戒經 San Jie Jing
311,演說三戒經 Yanshuo San Jie Jing
311,說菩薩戒經 Shuo Pusa Jie Jing
311,集一切佛法經 Ji Yiqie Fofa Jing
312,Tathāgataguhyasūtra
313,Akṣobhyatathāgatasyavyūhasūtra
313,阿閦經 Achu Jing
314,Daśadharma
315A,Samantamukhaparivarta
315A,普門品經 Pu Men Ping Jing
315B,Samantamukhaparivarta
315B,普門品經 Pu Men Ping Jing
318,Mañjuśrībuddhakṣetraguṇavyūha
318,文殊佛土嚴淨經 Wenshu Fo Tu Yan Jing Jing
318,嚴淨佛土經 Yan Jing Fo Tu Jing
318,佛土嚴淨經 Fo Tu Yan Jing Jing
319,Mañjuśrībuddhakṣetraguṇavyūhasūtra
320,Pitāputrasamāgama
321,Rāṣṭrapālaparipṛcchā
321,護國尊者所問經 Hu Guo Zunzhe Suo Wen Jing
322,Ugradattaparipṛcchā
323,Ugradattaparipṛcchā
324,Bhadramāyākāraparipṛcchā
325,Upāliparipṛcchā
