reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
310,11,120,大寶積經,Da Baoji Jing,Great Treasures Collection Sūtra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,,,"Sanskrit title and contents from Lancaster (2004, 'K 22')",Korean Canon,http://tripitaka.cbeta.org/T11n0310,2016-08-18,Ratnakuta Nirvana
311,11,,,,,,,,,,,,,,,,,
312,11,,,,,,,,,,,,,,,,,
313,11,,,,,,,,,,,,,,,,,
314,11,,,,,,,,,,,,,,,,,
315,11,,,,,,,,,,,,,,,,,
316,11,,,,,,,,,,,,,,,,,
317,11,,,,,,,,,,,,,,,,,
318,11,,,,,,,,,,,,,,,,,
319,11,,,,,,,,,,,,,,,,,
320,11,,,,,,,,,,,,,,,,,
321,12,,,,,,,,,,,,,,,,,
322,12,,,,,,,,,,,,,,,,,
323,12,,,,,,,,,,,,,,,,,
324,12,,,,,,,,,,,,,,,,,
325,12,,,,,,,,,,,,,,,,,
326,12,,,,,,,,,,,,,,,,,
327,12,,,,,,,,,,,,,,,,,
328,12,,,,,,,,,,,,,,,,,
329,12,,,,,,,,,,,,,,,,,
330,12,,,,,,,,,,,,,,,,,
331,12,,,,,,,,,,,,,,,,,
332,12,,,,,,,,,,,,,,,,,
333,12,,,,,,,,,,,,,,,,,
334,12,,,,,,,,,,,,,,,,,
335,12,,,,,,,,,,,,,,,,,
336,12,,,,,,,,,,,,,,,,,
337,12,,,,,,,,,,,,,,,,,
338,12,,,,,,,,,,,,,,,,,
339,12,,,,,,,,,,,,,,,,,
340,12,,,,,,,,,,,,,,,,,
341,12,,,,,,,,,,,,,,,,,
342,12,,,,,,,,,,,,,,,,,
343,12,,,,,,,,,,,,,,,,,
344,12,,,,,,,,,,,,,,,,,
345,12,,,,,,,,,,,,,,,,,
346,12,,,,,,,,,,,,,,,,,
347,12,,,,,,,,,,,,,,,,,
348,12,,,,,,,,,,,,,,,,,
349,12,,,,,,,,,,,,,,,,,
350,12,,,,,,,,,,,,,,,,,
351,12,,,,,,,,,,,,,,,,,
352,12,,,,,,,,,,,,,,,,,
353,12,,,,,,,,,,,,,,,,,
354,12,,,,,,,,,,,,,,,,,
355,12,,,,,,,,,,,,,,,,,
356,12,,,,,,,,,,,,,,,,,
357,12,,,,,,,,,,,,,,,,,
358,12,,,,,,,,,,,,,,,,,
359,12,,,,,,,,,,,,,,,,,
360,12,,,,,,,,,,,,,,,,,
361,12,,,,,,,,,,,,,,,,,
362,12,,,,,,,,,,,,,,,,,
363,12,,,,,,,,,,,,,,,,,
364,12,,,,,,,,,,,,,,,,,
365,12,,,,,,,,,,,,,,,,,
366,12,,,,,,,,,,,,,,,,,
367,12,,,,,,,,,,,,,,,,,
368,12,,,,,,,,,,,,,,,,,
369,12,,,,,,,,,,,,,,,,,
370,12,,,,,,,,,,,,,,,,,
371,12,,,,,,,,,,,,,,,,,
372,12,,,,,,,,,,,,,,,,,
373,12,,,,,,,,,,,,,,,,,
374,12,,,,,,,,,,,,,,,,,
375,12,,,,,,,,,,,,,,,,,
376,12,,,,,,,,,,,,,,,,,
377,12,,,,,,,,,,,,,,,,,
378,12,,,,,,,,,,,,,,,,,
379,12,,,,,,,,,,,,,,,,,
380,12,,,,,,,,,,,,,,,,,
381,12,,,,,,,,,,,,,,,,,
382,12,,,,,,,,,,,,,,,,,
383,12,,,,,,,,,,,,,,,,,
384,12,,,,,,,,,,,,,,,,,
385,12,,,,,,,,,,,,,,,,,
386,12,,,,,,,,,,,,,,,,,
387,12,,,,,,,,,,,,,,,,,
388,12,,,,,,,,,,,,,,,,,
389,12,,,,,,,,,,,,,,,,,
390,12,,,,,,,,,,,,,,,,,
391,12,,,,,,,,,,,,,,,,,
392,12,,,,,,,,,,,,,,,,,
393,12,,,,,,,,,,,,,,,,,
394,12,,,,,,,,,,,,,,,,,
395,12,,,,,,,,,,,,,,,,,
396,12,,,,,,,,,,,,,,,,,
