reference_no,citation,location
311,FGDB,s.v. 大方廣三戒經
311,Lancaster 2004,K 23
311,Nanjio 1883,pp. 20-21
312,Lancaster 2004,K 1486
312,Nanjio 1883,p. 229
313,FGDB,s.v. 阿閦佛國經
313,Lancaster 2004,K 27
314,FGDB,s.v. 佛說大乘十法經
314,Lancaster 2004,K 28
314,Nanjio 1883,pp. 21-22
315A,FGDB,s.v. 普門品經
315A,Lancaster 2004,K 29
315A,Nanjio 1883,p. 22
315B,FGDB,s.v. 普門品經
315B,Lancaster 2004,K 29
315B,Nanjio 1883,p. 22
316,FGDB,s.v. 佛說大乘菩薩藏正法經
316,Lancaster 2004,K 29
316,Nanjio 1883,p. 221
317,Lancaster 2004,K 30
317,Nanjio 1883,p. 22
318,FGDB,s.v. 文殊師利佛土嚴淨經
318,Hamar 2022,pp. 343-354
318,Lancaster 2004,K 31
319,Hamar 2022,pp. 343-354
319,Lancaster 2004,K 1341
320,Lancaster 2004,K 1496
321,FGDB,s.v. 護國尊者所問大乘經
321,Lancaster 2004,K 1206
321,Nanjio 1883,p. 199
322,FGDB,s.v. 法鏡經
322,Lancaster 2004,K 32
322,Nanjio 1883,p. 22
323,Lancaster 2004,K 33
323,Nanjio 1883,p. 22
324,Lancaster 2004,K 33
324,Nanjio 1883,p. 34
325,FGDB,s.v. 佛說決定毘尼經
325,Lancaster 2004,K 35
325,Nanjio 1883,p. 23
326,Lancaster 2004,K 1272
327,Lancaster 2004,K 1272
327,Nanjio 1883,p. 23
328,FGDB,s.v. 須賴經
328,FGDB,p. 24
329,Lancaster 2004,K 362
