reference_no,type,citation
310,Partial,"Chang, Garma C.C. (Ed.) 1983, <i>A Treasury of Mahāyāna Sūtras. Selections from the Mahāratnakūṭasūtra</i>, The Buddhist Assiociation of the United States, University Park and London: Pennsylvania State University."
353,Complete,"Paul, Diana Y. 2004, <i>The Sutra of Queen Srimala of the Lion's Roar: Translated from the Chinese</i>, Berkeley: Numata Center for Buddhist Translation and Research."
360,Complete,"Inagaki, Hisao, and Harold Stewart 1995, <i>The three Pure Land sutras</i>. Berkeley, CA: Numata Center for Buddhist Translation and Research."
365,Complete,"Inagaki, Hisao, and Harold Stewart 1995, <i>The three Pure Land sutras</i>. Berkeley, CA: Numata Center for Buddhist Translation and Research."
366,Complete,"Hsing Yun, Amy Lam (trans.), and Susan Tidwell (trans.), 1998 <i>The Amitabha sutra and the Pure land school of Buddhism</i>, Hacienda Heights, CA: Buddha's light international Association."
366,Complete,"Inagaki, Hisao, and Harold Stewart 1995, <i>The three Pure Land sutras</i>, Berkeley, CA: Numata Center for Buddhist Translation and Research, online at <a href='https://bdkamerica.org/product/the-three-pure-land-sutras/'>https://bdkamerica.org/product/the-three-pure-land-sutras/</a>."
374,Complete,"Blum, Mark 2007, <i>The Nirvāṇa Sūtra (Mahāparinirvāṇasūtra) Volume I</i>, (Taishō Volume 12, Number 374), dBET PDF Version, Moraga, California: BDK America, Inc., <a href='https://bdkamerica.org/product/the-nirvana-sutra-vol-i/'>https://bdkamerica.org/product/the-nirvana-sutra-vol-i/</a>, accessed 2021-11-20. Scrolls 1-10."
374,Complete,"Page, Tony and Kōshō Yamamoto 1999, <i>The Mahayana Mahaparinirvana sutra</i>, London: Nirvana."
374,Complete,"Yamamoto, K. 1974, <i>The Mahayana Mahaparinirvana-sutra: a complete translation from the classical Chinese language in 3 volumes</i>, Karinbunko."
389,Complete,"Cleary, J. 2005, “The Bequeathed Teaching Sutra,” In: <i>Apocryphal Scriptures</i>, Berkeley: Numata Center for Buddhist Translation and Research."
