reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1519,26,2,妙法蓮華經憂波提舍,Miaofa Lianhua Jing You Bo Ti She,,大乘論師婆藪槃豆,釋,Abhidharma teacher Vasubandhu,Composed,後魏,Later Wei,508-535,,"Sanskrit title and date 508-535 from Lancaster (2004, 'K 563')",Korean Canon,http://tripitaka.cbeta.org/T26n1519,2016-10-15,Śastra and Abhidharma
1520,26,,,,,,,,,,,,,,,,,
1521,26,,,,,,,,,,,,,,,,,
1522,26,,,,,,,,,,,,,,,,,
1523,26,,,,,,,,,,,,,,,,,
1524,26,,,,,,,,,,,,,,,,,
1525,26,,,,,,,,,,,,,,,,,
1526,26,,,,,,,,,,,,,,,,,
1527,26,,,,,,,,,,,,,,,,,
1528,26,,,,,,,,,,,,,,,,,
1529,26,,,,,,,,,,,,,,,,,
1530,26,,,,,,,,,,,,,,,,,
1531,26,,,,,,,,,,,,,,,,,
1532,26,,,,,,,,,,,,,,,,,
1533,26,,,,,,,,,,,,,,,,,
1534,26,,,,,,,,,,,,,,,,,
1535,26,,,,,,,,,,,,,,,,,
1536,26,,,,,,,,,,,,,,,,,
1537,26,,,,,,,,,,,,,,,,,
1538,26,,,,,,,,,,,,,,,,,
1539,26,,,,,,,,,,,,,,,,,
1540,26,,,,,,,,,,,,,,,,,
1541,26,,,,,,,,,,,,,,,,,
1542,26,,,,,,,,,,,,,,,,,
1543,26,,,,,,,,,,,,,,,,,
1544,26,,,,,,,,,,,,,,,,,
