reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1821,41,30,俱舍論記,Jushe Lun Ji,Notes on the Abhidharmakośabhāṣya,普光,述,Pu Guang,Narrated,唐,Tang,,A commentary on the 《俱舍論》 Abhidharmakośabhāṣya by Vasubandhu,,,http://tripitaka.cbeta.org/T41n1821,2016-10-24,Śastra Commentary Section
1822,41,,,,,,,,,,,,,,,,,
1823,41,,,,,,,,,,,,,,,,,
1824,42,,,,,,,,,,,,,,,,,
1825,42,,,,,,,,,,,,,,,,,
1826,42,,,,,,,,,,,,,,,,,
1827,42,,,,,,,,,,,,,,,,,
1828,42,,,,,,,,,,,,,,,,,
1829,43,,,,,,,,,,,,,,,,,
1830,43,,,,,,,,,,,,,,,,,
1831,43,,,,,,,,,,,,,,,,,
1832,43,,,,,,,,,,,,,,,,,
1833,43,,,,,,,,,,,,,,,,,
1834,43,,,,,,,,,,,,,,,,,
