reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1505,25,2,四阿鋡暮抄解,Si Ahan Mu Chao Jie,,婆素跋陀,造,Vasubhadra,Composed,符秦,Former Qin,382,,"Date 382 from Lancaster (2004, 'K 1019')",Korean Canon,http://tripitaka.cbeta.org/T25n1505,2016-10-13,Sastra
1506,25,,,,,,,,,,,,,,,,,
1507,25,,,,,,,,,,,,,,,,,
1508,25,,,,,,,,,,,,,,,,,
1509,25,,,,,,,,,,,,,,,,,
1510A,25,,,,,,,,,,,,,,,,,
1510B,25,,,,,,,,,,,,,,,,,
1511,25,,,,,,,,,,,,,,,,,
1512,25,,,,,,,,,,,,,,,,,
1513,25,,,,,,,,,,,,,,,,,
1514,25,,,,,,,,,,,,,,,,,
1515,25,,,,,,,,,,,,,,,,,
1516,25,,,,,,,,,,,,,,,,,
1517,25,,,,,,,,,,,,,,,,,
1518,25,,,,,,,,,,,,,,,,,
