reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1835,44,3,辯中邊論述記,Bian Zhong Bian Lun Shu Ji,Notes on Madhyāntavibhaṅgabhāṣya,窺基,撰,Kui Ji,Composed,唐,Tang,,,,,http://tripitaka.cbeta.org/T44n1835,2016-10-24,Śastra Commentaries and Different Schools
1836,44,,,,,,,,,,,,,,,,,
1837,44,,,,,,,,,,,,,,,,,
1838,44,,,,,,,,,,,,,,,,,
1839,44,,,,,,,,,,,,,,,,,
1840,44,,,,,,,,,,,,,,,,,
1841,44,,,,,,,,,,,,,,,,,
1842,44,,,,,,,,,,,,,,,,,
1843,44,,,,,,,,,,,,,,,,,
1844,44,,,,,,,,,,,,,,,,,
1845,44,,,,,,,,,,,,,,,,,
1846,44,,,,,,,,,,,,,,,,,
1847,44,,,,,,,,,,,,,,,,,
1848,44,,,,,,,,,,,,,,,,,
1849,44,,,,,,,,,,,,,,,,,
1850,44,,,,,,,,,,,,,,,,,
1851,44,,,,,,,,,,,,,,,,,
