reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1628,32,1,因明正理門論本,Yinming Zheng Li Men Lun Ben,Nyāyamukha,大域龍菩薩造 唐 玄奘譯,,"Composed by Dignāga, translated by Xuanzang in the Tang",,,,650,,"Sanskrit title and date 650 from Lancaster (2004, 'K 604')",,,,
1629,32,,,,,,,,,,,,,,,,,
1630,32,,,,,,,,,,,,,,,,,
1631,32,,,,,,,,,,,,,,,,,
1632,32,,,,,,,,,,,,,,,,,
1633,32,,,,,,,,,,,,,,,,,
1634,32,,,,,,,,,,,,,,,,,
1635,32,,,,,,,,,,,,,,,,,
1636,32,,,,,,,,,,,,,,,,,
1637,32,,,,,,,,,,,,,,,,,
1638,32,,,,,,,,,,,,,,,,,
1639,32,,,,,,,,,,,,,,,,,
1640,32,,,,,,,,,,,,,,,,,
1641,32,,,,,,,,,,,,,,,,,
1642,32,,,,,,,,,,,,,,,,,
1643,32,,,,,,,,,,,,,,,,,
1644,32,,,,,,,,,,,,,,,,,
1645,32,,,,,,,,,,,,,,,,,
1646,32,,,,,,,,,,,,,,,,,
1647,32,,,,,,,,,,,,,,,,,
1648,32,,,,,,,,,,,,,,,,,
1649,32,,,,,,,,,,,,,,,,,
1650,32,,,,,,,,,,,,,,,,,
1651,32,,,,,,,,,,,,,,,,,
1652,32,,,,,,,,,,,,,,,,,
1653,32,,,,,,,,,,,,,,,,,
1654,32,,,,,,,,,,,,,,,,,
1655,32,,,,,,,,,,,,,,,,,
1656,32,,,,,,,,,,,,,,,,,
1657,32,,,,,,,,,,,,,,,,,
1658,32,,,,,,,,,,,,,,,,,
1659,32,,,,,,,,,,,,,,,,,
1660,32,,,,,,,,,,,,,,,,,
1661,32,,,,,,,,,,,,,,,,,
1662,32,,,,,,,,,,,,,,,,,
1663,32,,,,,,,,,,,,,,,,,
1664,32,,,,,,,,,,,,,,,,,
1665,32,,,,,,,,,,,,,,,,,
1666,32,,,,,,,,,,,,,,,,,
1667,32,,,,,,,,,,,,,,,,,
1668,32,,,,,,,,,,,,,,,,,
1669,32,,,,,,,,,,,,,,,,,
1670,32,,,,,,,,,,,,,,,,,
1671,32,,,,,,,,,,,,,,,,,
1672,32,,,,,,,,,,,,,,,,,
1673,32,,,,,,,,,,,,,,,,,
1674,32,,,,,,,,,,,,,,,,,
1675,32,,,,,,,,,,,,,,,,,
1676,32,,,,,,,,,,,,,,,,,
1677,32,,,,,,,,,,,,,,,,,
1678,32,,,,,,,,,,,,,,,,,
1679,32,,,,,,,,,,,,,,,,,
1680,32,,,,,,,,,,,,,,,,,
1681,32,,,,,,,,,,,,,,,,,
1682,32,,,,,,,,,,,,,,,,,
1683,32,,,,,,,,,,,,,,,,,
1684,32,,,,,,,,,,,,,,,,,
1685,32,,,,,,,,,,,,,,,,,
1686,32,,,,,,,,,,,,,,,,,
1687,32,,,,,,,,,,,,,,,,,
1688,32,,,,,,,,,,,,,,,,,
1689,32,,,,,,,,,,,,,,,,,
1690,32,,,,,,,,,,,,,,,,,
1691,32,,,,,,,,,,,,,,,,,
1692,32,,,,,,,,,,,,,,,,,
1693,32,,,,,,,,,,,,,,,,,
