reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1852,45,1,三論玄義,Sanlun Xuan Yi,Profound Meaning of the Three Treatises,吉藏,撰,Ji Zang,Composed,隋,Sui,,,"This text does not appear in the Korean canon. A note in the Taisho reads: ＜原＞建長八年藥師寺藏基辨加點本, ＜甲＞元祿十四年刊大谷大學藏本 Source: Yakushi-ji collection version, 8th year of the Kenchō era [1249-1256], 1. Ōtani University canon, published 40th year of the Genroku era [1688-1704].",Yakushi-ji,http://tripitaka.cbeta.org/T45n1852,2016-10-24,Various Schools
1853,45,5,大乘玄論,,,,,,,,,,,,,,,
1854,45,3,二諦義,,,,,,,,,,,,,,,
1855,45,1,三論遊意義,,,,,,,,,,,,,,,
1856,45,3,鳩摩羅什法師大義,,,,,,,,,,,,,,,
1857,45,1,寶藏論,,,,,,,,,,,,,,,
1858,45,1,肇論,,,,,,,,,,,,,,,
1859,45,3,肇論疏,,,,,,,,,,,,,,,
1860,45,3,肇論新疏,,,,,,,,,,,,,,,
1861,45,7,大乘法苑義林章,,,,,,,,,,,,,,,
1862,45,3,勸發菩提心集,,,,,,,,,,,,,,,
1863,45,4,能顯中邊慧日論,,,,,,,,,,,,,,,
1864,45,1,大乘入道次第,,,,,,,,,,,,,,,
1865,45,2,八識規矩補註,,,,,,,,,,,,,,,
1866,45,4,華嚴一乘教義分齊章,,,,,,,,,,,,,,,
1867,45,1,華嚴五教止觀,,,,,,,,,,,,,,,
1868,45,1,華嚴一乘十玄門,,,,,,,,,,,,,,,
1869,45,2,華嚴五十要問答,,,,,,,,,,,,,,,
1870,45,4,華嚴經內章門等雜孔目章,,,,,,,,,,,,,,,
1871,45,1,華嚴經旨歸,,,,,,,,,,,,,,,
1872,45,1,華嚴策林,,,,,,,,,,,,,,,
1873,45,2,華嚴經問答,,,,,,,,,,,,,,,
1874,45,2,華嚴經明法品內立三寶章,,,,,,,,,,,,,,,
1875,45,1,華嚴經義海百門,,,,,,,,,,,,,,,
1876,45,1,修華嚴奧旨妄盡還源觀,,,,,,,,,,,,,,,
1877,45,1,華嚴遊心法界記,,,,,,,,,,,,,,,
1878,45,1,華嚴發菩提心章,,,,,,,,,,,,,,,
1879A,45,1,華嚴經關脈義記,,,,,,,,,,,,,,,
1879B,45,1,華嚴關脈義記,,,,,,,,,,,,,,,
1880,45,1,金師子章雲間類解,,,,,,,,,,,,,,,
1881,45,1,華嚴經金師子章註,,,,,,,,,,,,,,,
1882,45,1,三聖圓融觀門,,,,,,,,,,,,,,,
1883,45,2,華嚴法界玄鏡,,,,,,,,,,,,,,,
1884,45,1,註華嚴法界觀門,,,,,,,,,,,,,,,
1885,45,2,註華嚴經題法界觀門頌,,,,,,,,,,,,,,,
1886,45,1,原人論,,,,,,,,,,,,,,,
1887A,45,1,華嚴一乘法界圖,,,,,,,,,,,,,,,
1887B,45,2,法界圖記叢髓錄,,,,,,,,,,,,,,,
1888,45,1,解迷顯智成悲十明論,,,,,,,,,,,,,,,
1889,45,1,海印三昧論,,,,,,,,,,,,,,,
1890,45,1,華嚴一乘成佛妙義,,,,,,,,,,,,,,,
1891,45,1,文殊指南圖讚,,,,,,,,,,,,,,,
1892,45,1,關中創立戒壇圖經,,,,,,,,,,,,,,,
1893,45,2,淨心戒觀法,,,,,,,,,,,,,,,
1894,45,1,釋門章服儀,,,,,,,,,,,,,,,
1895,45,1,量處輕重儀,,,,,,,,,,,,,,,
1896,45,2,釋門歸敬儀,,,,,,,,,,,,,,,
