reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1804,40,3,四分律刪繁補闕行事鈔,Si Fen Lu Shan Fan Bu Que Xingshi Chao,,道宣,撰,Dao Xuan,Composed,唐,Tang,,A commentary on the Dharmaguputaka Vinaya,,,http://tripitaka.cbeta.org/T40n1804,2016-10-23,Vinaya and Śastra Commentaries
1805,40,,,,,,,,,,,,,,,,,
1806,40,,,,,,,,,,,,,,,,,
1807,40,,,,,,,,,,,,,,,,,
1808,40,,,,,,,,,,,,,,,,,
1809,40,,,,,,,,,,,,,,,,,
1810,40,,,,,,,,,,,,,,,,,
1811,40,,,,,,,,,,,,,,,,,
1812,40,,,,,,,,,,,,,,,,,
1813,40,,,,,,,,,,,,,,,,,
1814,40,,,,,,,,,,,,,,,,,
1815,40,,,,,,,,,,,,,,,,,
1816,40,,,,,,,,,,,,,,,,,
1817,40,,,,,,,,,,,,,,,,,
1818,40,,,,,,,,,,,,,,,,,
1819,40,,,,,,,,,,,,,,,,,
1820,40,,,,,,,,,,,,,,,,,
