reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1421,22,30,彌沙塞部和醯五分律,Mishasaibu Wu Fen Lu,Mahīśāsakavinaya,佛陀什共竺道生等,譯,Buddhajīva and Zhu Daosheng,Translated,劉宋,Liu Song,423-424,,"Sanskrit title and date 423-424 from Lancaster (2004, 'K 895')",Korean Canon,http://tripitaka.cbeta.org/T22n1421,2016-10-11,Vinaya
1422A,22,,,,,,,,,,,,,,,,,
1422B,22,,,,,,,,,,,,,,,,,
1423,22,,,,,,,,,,,,,,,,,
1424,22,,,,,,,,,,,,,,,,,
1425,22,,,,,,,,,,,,,,,,,
1426,22,,,,,,,,,,,,,,,,,
1427,22,,,,,,,,,,,,,,,,,
1428,22,,,,,,,,,,,,,,,,,
1429,22,,,,,,,,,,,,,,,,,
1430,22,,,,,,,,,,,,,,,,,
1431,22,,,,,,,,,,,,,,,,,
1432,22,,,,,,,,,,,,,,,,,
1433,22,,,,,,,,,,,,,,,,,
1434,22,,,,,,,,,,,,,,,,,
1435,23,,,,,,,,,,,,,,,,,
1436,23,,,,,,,,,,,,,,,,,
1437,23,,,,,,,,,,,,,,,,,
1438,23,,,,,,,,,,,,,,,,,
1439,23,,,,,,,,,,,,,,,,,
1440,23,,,,,,,,,,,,,,,,,
1441,23,,,,,,,,,,,,,,,,,
1442,23,,,,,,,,,,,,,,,,,
1443,23,,,,,,,,,,,,,,,,,
1444,23,,,,,,,,,,,,,,,,,
1445,23,,,,,,,,,,,,,,,,,
1446,23,,,,,,,,,,,,,,,,,
1447,23,,,,,,,,,,,,,,,,,
1448,24,,,,,,,,,,,,,,,,,
1449,24,,,,,,,,,,,,,,,,,
1450,24,,,,,,,,,,,,,,,,,
1451,24,,,,,,,,,,,,,,,,,
1452,24,,,,,,,,,,,,,,,,,
1453,24,,,,,,,,,,,,,,,,,
1454,24,,,,,,,,,,,,,,,,,
1455,24,,,,,,,,,,,,,,,,,
1456,24,,,,,,,,,,,,,,,,,
1457,24,,,,,,,,,,,,,,,,,
1458,24,,,,,,,,,,,,,,,,,
1459,24,,,,,,,,,,,,,,,,,
1460,24,,,,,,,,,,,,,,,,,
1461,24,,,,,,,,,,,,,,,,,
1462,24,,,,,,,,,,,,,,,,,
1463,24,,,,,,,,,,,,,,,,,
1464,24,,,,,,,,,,,,,,,,,
1465,24,,,,,,,,,,,,,,,,,
1466,24,,,,,,,,,,,,,,,,,
1467A,24,,,,,,,,,,,,,,,,,
1467B,24,,,,,,,,,,,,,,,,,
1468,24,,,,,,,,,,,,,,,,,
1469,24,,,,,,,,,,,,,,,,,
1470,24,,,,,,,,,,,,,,,,,
1471,24,,,,,,,,,,,,,,,,,
1472,24,,,,,,,,,,,,,,,,,
1473,24,,,,,,,,,,,,,,,,,
1474,24,,,,,,,,,,,,,,,,,
1475,24,,,,,,,,,,,,,,,,,
1476,24,,,,,,,,,,,,,,,,,
1477,24,,,,,,,,,,,,,,,,,
1478,24,,,,,,,,,,,,,,,,,
1479,24,,,,,,,,,,,,,,,,,
1480,24,,,,,,,,,,,,,,,,,
1481,24,,,,,,,,,,,,,,,,,
1482,24,,,,,,,,,,,,,,,,,
1483A,24,,,,,,,,,,,,,,,,,
1483B,24,,,,,,,,,,,,,,,,,
1484,24,,,,,,,,,,,,,,,,,
1485,24,,,,,,,,,,,,,,,,,
1486,24,,,,,,,,,,,,,,,,,
1487,24,,,,,,,,,,,,,,,,,
1488,24,,,,,,,,,,,,,,,,,
1489,24,,,,,,,,,,,,,,,,,
1490,24,,,,,,,,,,,,,,,,,
1491,24,,,,,,,,,,,,,,,,,
1492,24,,,,,,,,,,,,,,,,,
1493,24,,,,,,,,,,,,,,,,,
1494,24,,,,,,,,,,,,,,,,,
1495,24,,,,,,,,,,,,,,,,,
1496,24,,,,,,,,,,,,,,,,,
1497,24,,,,,,,,,,,,,,,,,
1498,24,,,,,,,,,,,,,,,,,
1499,24,,,,,,,,,,,,,,,,,
1500,24,,,,,,,,,,,,,,,,,
1501,24,,,,,,,,,,,,,,,,,
1502,24,,,,,,,,,,,,,,,,,
1503,24,,,,,,,,,,,,,,,,,
1504,24,,,,,,,,,,,,,,,,,
