reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1585,31,10,成唯識論,Cheng Weishi Lun,Vijñaptimātratāsiddhiśāstra,護法等菩薩造 唐 玄奘譯,,"Composed by Dharmapāla, translated by Xuanzang in the Tang",,,,659,,"Sanskrit title and date 659 from Lancaster (2004, 'K 614')",Korean Canon,http://tripitaka.cbeta.org/T31n1585,2016-10-18,Yogācāra 
1586,31,,,,,,,,,,,,,,,,,
1587,31,,,,,,,,,,,,,,,,,
1588,31,,,,,,,,,,,,,,,,,
1589,31,,,,,,,,,,,,,,,,,
1590,31,,,,,,,,,,,,,,,,,
1591,31,,,,,,,,,,,,,,,,,
1592,31,,,,,,,,,,,,,,,,,
1593,31,,,,,,,,,,,,,,,,,
1594,31,,,,,,,,,,,,,,,,,
1595,31,,,,,,,,,,,,,,,,,
1596,31,,,,,,,,,,,,,,,,,
1597,31,,,,,,,,,,,,,,,,,
1598,31,,,,,,,,,,,,,,,,,
1599,31,,,,,,,,,,,,,,,,,
1600,31,,,,,,,,,,,,,,,,,
1601,31,,,,,,,,,,,,,,,,,
1602,31,,,,,,,,,,,,,,,,,
1603,31,,,,,,,,,,,,,,,,,
1604,31,,,,,,,,,,,,,,,,,
1605,31,,,,,,,,,,,,,,,,,
1606,31,,,,,,,,,,,,,,,,,
1607,31,,,,,,,,,,,,,,,,,
1608,31,,,,,,,,,,,,,,,,,
1609,31,,,,,,,,,,,,,,,,,
1610,31,,,,,,,,,,,,,,,,,
1611,31,,,,,,,,,,,,,,,,,
1612,31,,,,,,,,,,,,,,,,,
1613,31,,,,,,,,,,,,,,,,,
1614,31,,,,,,,,,,,,,,,,,
1615,31,,,,,,,,,,,,,,,,,
1616,31,,,,,,,,,,,,,,,,,
1617,31,,,,,,,,,,,,,,,,,
1618,31,,,,,,,,,,,,,,,,,
1619,31,,,,,,,,,,,,,,,,,
1620,31,,,,,,,,,,,,,,,,,
1621,31,,,,,,,,,,,,,,,,,
1622,31,,,,,,,,,,,,,,,,,
1623,31,,,,,,,,,,,,,,,,,
1624,31,,,,,,,,,,,,,,,,,
1625,31,,,,,,,,,,,,,,,,,
1626,31,,,,,,,,,,,,,,,,,
1627,31,,,,,,,,,,,,,,,,,
