# Taisho-Korean index
# From Lancaster, L.R. 2004, The Korean Buddhist Canon: A Descriptive Catalogue.
# Copyright Lewis Lancaster, reproduced with permission
# Taisho, Korean
1	647
2	1182
3	1177
4	747
5	653
6	654
7	652
8	1453
9	1247
10	1464
11	1463
12	1429
13	663
14	655
15	1252
16	656
17	718
18	1248
19	1179
20	657
21	659
22	658
23	662
24	660
25	661
26	648
27	665
28	1413
29	668
30	1201
31	672
32	673
33	675
34	783
35	779
36	674
37	669
38	1422
39	676
40	681
41	1243
42	684
43	682
44	670
45	1234
46	686
47	687
48	690
49	677
50	688
51	671
52	1410
53	692
54	691
55	678
56	689
57	693
58	685
59	666
60	683
61	871
62	872
63	1253
64	679
65	680
66	694
67	667
68	720
69	1255
70	710
71	719
72	700
73	726
74	1181
75	715
76	722
77	707
78	701
79	695
80	805
81	1098
82	706
83	709
84	1411
85	1444
86	712
87	721
88	714
89	823
90	697
91	703
92	704
93	702
94	698
95	1451
96	999
97	725
98	717
99	650
100	651
101	745
102	731
103	750
104	1407
105	743
106	733
107	737
108	755
109	741
110	730
111	729
112	742
113	728
114	757
115	752
116	713
117	1240
118	708
119	727
120	410
121	1447
122	711
123	746a
124	736
125	649
126	1229
127	696
128	723
129	790
130	1428
131	705
132	699
133	716
134	724
135	749
136	748
137	751
138	756
139	732
140	738
141	774
142	772
143	771
144	754
145	753
146	734
147	735
148	758
149	740
150a	738
150b	882
151	813
152	206
153	988
154	799
155	403
156	402
157	126
158	125
159	1385
161	506
162	370
163	496
164	488
165	1469
166	1173
167	212
168	210
169	466
170	479
171	207
172	512
173	1467
174	208
175	209
176	502
177	499
178	251
179	252
180	517
181	211
182	462
183	509
184	765
185	775
186	112
187	111
188	468
189	777
190	802
191	1172
192	980
193	979
194	985
195	1009
196	664
197	804
198	800
199	829
200	981
201	587
202	983
203	1001
204	1007
205	1014
206	1005
207	1016
209	987
210	1021
211	1020
212	982
213	1119
214	818
215	885
216	853
217	868
218	1460
219	1446
220	1
220-01	1(1)
220-02	1(2)
220-03	1(3)
220-04	1(4)
220-05	1(5)
220-06	1(6)
220-07	1(7)
220-08	1(8)
220-09	1(9), K 16
220-10	1(10)
220-11	1(11)
220-12	1(12)
220-13	1(13)
220-14	1(14)
220-15	1(15)
220-16	1(16)
221	2
222	4
223	3
224	6
225	9
226	5
227	7
228	1423
229	1200
230	1455
231	8
232	10
233	11
234	12
235	13, KS 5
236	14
237	15
239	17
240	18
242	1189
243	1275
244	1256
245	19
246	1340
247	1415
248	1192
249	1190
250	21
251	20
252	1267
253	1383
257	1427
258	1090
259	1139
260	1485
261	1381
262	116, KS 3
263	117
264	118
265	115
266	135
267	137
268	136
269	113
270	416
271	162
272	163
273	521
274	147
275	148
276	114
277	380
278	79, KS 15
279	80, KS 17
280	90
281	94
282	93
283	92
284	97
285	89
286	98
287	1388
288	100
289	101
290	1217
291	99
292	103
293	1262, KS 16, KS 52
294	102
295	104
296	1029
297	1282
298	91
299	1095
300	88
301	87
302	85
303	82
304	86
305	81
306	84
307	95
308	96
309	382
310	22
310-01	22(1)
310-02	22(2)
310-03	22(3)
310-04	22(4)
310-05	22(5)
310-06	22(6)
310-07	22(7)
310-08	22(8)
310-09	22(9)
310-10	22(10)
310-11	22(11)
310-12	22(12)
310-13	22(13)
310-14	22(14)
310-15	22(15)
310-16	22(16)
310-17	22(17)
310-18	22(18)
310-19	22(19)
310-20	22(20)
310-21	22(21)
310-22	22(22)
310-23	22(23)
310-24	22(24)
310-25	22(25)
310-26	22(26)
310-27	22(27)
310-28	22(28)
310-29	22(29)
310-30	22(30)
310-31	22(31)
310-32	22(32)
310-33	22(33)
310-34	22(34)
310-35	22(35)
310-36	22(36)
310-37	22(37)
310-38	22(38)
310-39	22(39)
310-40	22(40)
310-41	22(41)
310-42	22(42)
310-43	22(43)
310-44	22(44)
310-45	22(45)
310-46	22(46)
310-47	22(47)
310-48	22(48)
310-49	22(49)
311	23
312	1486
313	27
314	28
315	29
316	1487
317	30
318	31
319	1341
320	1496
321	1206
322	32
323	33
324	34
325	35
326	1303
327	37
329	362
330	369
331	1468
332	38
333	1100
334	39
336	36
337	40
338	41
339	42
340	43
341	45, K 49
342	44
343	46
344	47
345	48
346	1424
348	50
349	51
350	52
351	53
352	1123
353	54
354	55
355	241
356	240
357	188
358	189
359	1489
360	26
361	24
362	25
363	1199
365	191
366	192, KS 6, KS 51, KS 58
367	193
370	443
371	376
372	1450
373	190
374	105
375	1403
376	106
377	107
378	108
379	109
380	110
381	140
382	141
383	373
384	406
385	414
386	420
387	164
389	453, KS 50
390	483
391	480
392	878
393	994
394	997
395	518
396	520
397	56
397-12	71
397-16	59
397-17	411
398	72
399	74
400	1481
401	77
402	78
403	70
404	1339
405	62
407	63
408	61
409	64
410	58
411	57
413	1283
414	60
415	65
416	66
417	68
418	67
419	69
420	75
421	76
422	73
423	398
424	1412
425	387
426	452
427	271
428	276
429	493
430	286
431	282
432	508
433	354
434	371
435	464
436	484
437	1145
438	1479
439	1194
440	390
441	1404
443	394
444	365
445	395
446	391
447	392
448	393
449	176
450	177
451	178
452	194
453	197
454	198
455	199
456	195
457	196
458	418
459	538
460	537
461	149
462	150
463	470
464	222
465	223
466	224
467	225
468	412
469	1309
470	265
471	267
472	1099
473	1211
474	120
475	119
476	121
477	122
478	123
479	124
480	415
481	145
482	146
483	544
484	381
485	409
486	497
487	491
488	1227
489	1476
490	1212
491	1030
492	761
493	817
494	836
495	770
496	831
497	839
498	1448
500	850
501	851
502	849
503	886
504	873
505	1472
506	826
507	821
508	791
509	253
510	254
511	785
512	796
513	787
514	260
515	258
516	1417
517	848
518	846
519	845
520	503
521	879
522	877
523	863
524	1357
525	815
526	226
527	228
528	227
529	822
530	816
531	776
532	358
533	359
534	219
535	234
536	220
537	794
538	834
539	859
540	505
541	843
542	844
544	854
545	221
546	1103
547	1382
548	1174
549	1437
550	1483
551	759
552	762
553	782
555	768
556	784
557	270
558	275
559	216
560	218
561	217
562	231
563	232
564	233
565	204
566	205
567	356
568	489
569	461
570	469
571	837
572	511
573	492
574	487
575	264
576	266
577	494
578	855
579	500
580	514
581	786
582	884
583	819
584	869
585	142
586	143
587	144
588	372
589	463
590	856
591	481
592	881
593	261
594	1147
595	1111
596	513
597	780
598	377
599	495
600	548
