1	Diamond Sūtra (Sanskrit)	file	Sanskrit	IAST	Sūtra	corpus_entry.php?uri=diamond-sutra-sanskrit.md	UWest Sanskrit Buddhist Canon	\N	---END---	diamond-sutra-sanskrit.txt	\N	\N	Prajnaparamita	\N	\N	diamond-sutra-sanskrit-analysis.md	\N
2	Diamond Sūtra 金剛般若波羅蜜經	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=diamond-sutra-taisho.md	Taisho Tripitaka	如是我聞	真言	diamond-sutra-taisho.txt	Kumārajīva	Vol. 8, No. 235	Prajnaparamita	334－413	diamond-sutra-taisho-tagged.txt	diamond-sutra-taisho-analysis.md	diamond-sutra-taisho-gloss.html
3	Prajñāpāramitā Heart Sūtra 般若波羅蜜多心經	file	Chinese	Traditionl	Sūtra	corpus_entry.php?uri=heart-sutra-xuanzang.md	Taisho Tripitaka	觀自在菩薩行深	本網站係採用	heart-sutra-xuanzang.txt	Xuanzang	Vol. 8, No. 251	Prajnaparamita	602－664	heart-sutra-xuanzang-tagged.txt	heart-sutra-xuanzang-analysis.md	heart-sutra-xuanzang-gloss.html
4	Sūtra of the Great Vow of Ksitigarbha Bodhisattva 地藏菩薩本願經	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=ksitigarbha_taisho.md	Taisho Tripitaka	如是我聞	本網站係採用	ksitigarbha_taisho.txt	Śiksānanda	Vol. 13, No. 412	Mahāyāna	652－710	\N	ksitigarbha_taisho-analysis.md	ksitigarbha_taisho-gloss.html
5	Sūtra of the Medicine Buddha 藥師琉璃光如來本願功德經	file	Chinese	HTML	Sūtra	corpus_entry.php?uri=medicine_buddha_sutra.md	Taisho Tripitaka	如是我聞	本網站係採用	medicine_buddha_sutra.txt	Xuanzang	Vol. 14, No. 450	Mahāyāna	602－664	\N	medicine_buddha_sutra-analysis.md	medicine_buddha_sutra-analysis.md
6	Amitābha Sūtra 佛說阿彌陀經	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=amitabha-sutra-kumarajiva.md	Taisho Tripitaka	如是我聞	本網站係採用	amitabha-sutra-kumarajiva.txt	Kumārajīva	Vol. 12 No. 0366	Pure Land	334－413	amitabha-sutra-kumarajiva-tagged.txt	amitabha-sutra-kumarajiva-analysis.md	amitabha-sutra-kumarajiva-gloss.html
7	Eight Realizations of the Great Beings 佛說八大人覺經	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=eight-ealizations-anshigao.md	Taisho Tripitaka	為佛弟子	本網站係採用	eight-ealizations-anshigao.txt	An Shih Kao	Vol. 17, No. 779	Mahāyāna	c. 168	eight-ealizations-anshigao-tagged.txt	eight-ealizations-anshigao-analysis.md	eight-ealizations-anshigao-gloss.html
8	Universal Gate Sūtra 觀世音菩薩普門品	site	Chinese	Traditional	Sūtra	corpus_entry.php?uri=universal-sutra-taisho.md	Taisho Tripitaka	爾時	本網站係採用	universal-sutra-taisho.txt	Jñānagupta	Vol. 9, No. 262	Mahāyāna	602－664	\N	universal-sutra-taisho-analysis.md	universal-sutra-taisho-gloss.html
9	Sūtra of Forty-Two Sections 四十二章經	site	Chinese	Traditional	Sūtra	corpus_entry.php?uri=sutra-42-taisho.md	Taisho Tripitaka	佛言	本網站係採用	sutra-42-taisho.txt	Kasyapamatanga and Dharmaratna	Vol. 17, No. 784	Buddhist	First century	\N	sutra-42-taisho-analysis.md	sutra-42-taisho-gloss.html
10	Cārya-nidāna, Scroll 1 Fragment 修行本起經卷1部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=carya-nidana-scroll1-taisho.md	Taisho Tripitaka	於是能仁菩薩	「王聞太子生	carya-nidana-scroll1-taisho.txt	\N	Vol. 3, No. 184, p. 463, b12-c21	Jātaka	c. 197	\N	carya-nidana-scroll1-taisho-analysis.md	carya-nidana-scroll1-taisho-gloss.html
11	Life of the Prince in Accordance with Good Omens Fragment 佛說太子瑞應本起經卷上部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=taizi-ruiying-scroll1-taisho.md	Taisho Tripitaka	到四月八日夜明星出時	歎未曾有。	taizi-ruiying-scroll1-taisho.txt	Zhi Qian	Vol. 3, No. 185	Jātaka	222－252	\N	taizi-ruiying-scroll1-taisho-analysis.md	taizi-ruiying-scroll1-taisho-gloss.html
