匉	8
美	8704
兊	18
厝	167
逆	9469
掞	30
糯	19
瑜	7367
柟	22
捒	29
禂	3
喙	163
坴	10
呞	81
慆	3
燧	255
縣	2922
蠒	10
陜	178
省	3796
噉	4442
賏	36
岊	1
繄	47
濆	23
鏐	32
慘	440
莕	2
伩	1
靶	17
ḥ	2018
羝	401
扮	19
是	950121
呪	25133
旻	374
梳	323
岝	1
黯	144
童	15730
筟	2
踡	45
顥	54
蚪	17
瘍	36
荑	19
鷫	9
曾	21499
萁	5
鍍	11
丫	5
窯	78
賸	70
媋	1
奚	1029
鑱	66
粇	6
湑	38
媲	25
霆	147
粍	2
哮	241
猿	459
鐏	18
槵	87
嬥	4
侯	2089
涷	11
蕛	8
孿	9
芎	12
陡	11
頬	1
躩	1
滛	3
矯	953
芩	14
偝	13
踉	56
霪	10
縡	6
選	1794
漣	50
臊	106
蘩	18
喘	457
慁	3
瘂	817
詑	180
駿	367
偓	15
淮	1003
壈	10
瘙	40
辝	39
筦	20
矴	46
七	110320
罌	24
祈	1781
葥	1
汗	971
扯	2
帶	4013
縺	16
璊	14
鶻	109
憔	290
咊	2
趦	1
渥	140
后	3157
繛	2
醢	37
塺	6
增	64746
侅	7
菔	54
誠	9290
萬	43866
泲	10
絻	10
襄	1013
具	108825
聗	1
倖	145
薹	40
挅	5
糶	40
鸚	774
謌	32
蜊	14
叨	175
僧	112200
絪	16
𥙞	1
騗	5
泉	5536
俆	3
初	134420
袁	438
彀	24
鏌	32
欒	123
潕	1
寨	35
肴	135
悊	14
扼	297
鸎	51
焠	1
薌	17
麓	197
罪	52474
鞲	1
桎	174
齡	482
ㄐ	4
訽	7
讟	86
臾	3156
秖	2324
坵	16
秦	5969
术	6
穬	157
佃	75
攐	1
兇	594
鶬	28
嚤	54
妹	1898
彘	31
嬌	142
玦	43
喭	20
藡	7
脨	1
坷	1
勝	102349
歔	93
脤	6
郟	8
蛆	241
迍	36
淳	1961
燬	38
澁	1169
鎁	25
倠	6
鷹	646
墩	10
檐	309
法	741669
餢	4
偄	3
蘙	3
醫	6496
悰	78
炎	3710
鈘	6
敗	3767
酓	21
腜	1
輲	7
酪	3143
遞	688
巴	863
姜	177
饆	4
雋	85
澙	1
基	3153
蘺	7
籠	1300
派	599
刕	5
謗	11423
魯	1862
辬	2
闕	7934
愸	1
焄	3
酢	495
鏺	12
礫	884
灝	16
承	11380
轇	5
睉	2
倿	11
餓	6926
啦	3
楩	23
肕	11
榵	5
恒	27287
墟	283
痀	2
寑	10
鍪	25
劖	30
矛	921
堋	31
傚	65
肁	1
八	131148
釗	50
塩	16
詸	2
褾	18
置	17695
飋	4
拌	13
鼓	5836
弉	15
嫫	9
卷	90171
珽	15
宿	19896
塐	26
譌	37
柙	5
柘	286
覉	26
荄	42
鐸	615
淑	273
題	3592
靳	105
蚹	6
刺	4582
闠	66
慧	95948
呣	2
觪	1
眚	173
蕫	2
樚	13
磗	4
曌	2
翔	822
忕	5
廞	2
蜽	15
揰	3
嗦	6
金	74544
縊	127
銙	1
眆	7
俵	31
瑱	44
騲	15
自	273489
卉	296
塟	4
葌	18
葋	5
腩	25
效	499
挟	1
碢	10
粤	2
醦	3
週	97
喗	1
湓	25
枘	7
洎	598
緺	1
貝	2325
砒	7
軮	1
瓟	4
薁	16
布	33837
藝	1376
笔	7
爻	237
闓	406
聾	1670
妸	5
萋	5
孳	50
侗	30
爂	1
裐	3
諵	32
瓤	20
斢	1
瓘	65
殣	2
鵰	188
駞	42
瑕	1444
偲	14
稷	270
螂	15
鷘	2
鄱	46
覬	36
鎖	2086
馨	279
恰	576
ケ	3
濄	12
倥	5
氈	553
忳	7
吤	1
九	63569
葹	1
鶣	10
甛	16
獚	5
虒	94
噝	1
掖	297
槎	65
茌	1
關	5475
戉	51
岹	2
宴	1135
祊	1
剞	40
羬	2
幼	1941
璣	172
宋	5929
鏇	30
睒	982
斯	35852
洪	2008
騶	26
縋	14
鸝	19
赼	2
絸	6
彽	5
俍	1
嫋	7
嘎	2
峙	315
營	3526
魑	156
簇	93
鑪	703
噀	23
徹	4912
幎	1
濶	30
摝	49
唯	81302
爯	15
鏫	4
杔	5
柵	163
簿	337
昳	42
豝	1
⊥	7
柧	26
洐	3
相	392728
轑	4
媬	1
佟	1
环	1
傮	1
倝	17
欨	1
擄	5
瘧	352
隤	95
譍	16
豻	5
鷴	5
蘄	148
鴩	3
効	739
紕	102
瞪	141
攷	14
荼	4676
黿	193
頓	9428
芬	930
佈	4
磬	469
疻	2
揋	1
耰	5
マ	1
璺	28
舉	36388
採	10902
覃	186
枿	48
霣	6
僢	1
耶	77973
呴	46
島	201
銹	3
蝪	39
祘	5
寮	650
悁	24
仁	12162
蔇	4
譯	39003
橺	1
葛	1448
聵	53
撾	412
倬	3
璧	403
胳	20
廇	4
墡	29
笆	2
巇	31
嘉	3445
伇	73
窻	16
鴛	398
絓	80
舡	313
亼	20
餳	23
孆	3
殫	152
鋡	177
襍	1
教	106469
豐	3453
蜚	81
厎	1
趐	11
飱	29
巟	11
楅	2
趫	7
稭	10
卸	95
啹	2
羨	405
騵	2
汓	2
壅	383
螄	6
鍊	754
偍	1
蕎	15
穄	22
嵒	43
螲	1
跛	2709
昦	1
全	12244
㲄	11
劉	2112
稉	2
廋	33
麱	1
辟	9369
儛	7
擋	35
鞽	2
汁	1755
啎	7
瞎	599
啌	1
瞫	3
僐	6
畋	147
蛽	1
延	8693
猰	4
幨	1
臍	1218
篥	20
幅	237
尿	647
抗	737
戍	870
憒	896
壚	10
蹲	598
圌	53
宵	384
蠋	1
噢	24
偊	2
叻	12
慨	567
鷓	65
雰	53
襋	1
孌	20
墆	1
噪	83
仍	4280
緤	59
砂	567
晉	8949
鷥	16
霛	4
佁	3
鏜	4
輀	3
機	14201
虐	543
怋	4
欶	84
謨	3130
酻	2
患	13794
烋	26
蚡	29
擟	1
磸	3
斑	410
蛔	22
讇	57
蝶	119
胸	1955
技	772
屠	1613
捼	51
遜	751
泣	2930
摺	46
莽	950
莓	25
褢	8
欣	5420
追	4280
葎	4
閗	1
譥	15
邈	514
藐	13795
挊	14
襖	37
挓	27
蠰	57
檈	6
囐	9
濉	1
熭	1
崑	309
ə	1
酒	6848
弱	4083
偶	1022
恃	2292
紇	686
廁	1358
轅	241
僅	396
蕅	22
企	974
彫	531
鸍	1
塕	1
蠢	317
勞	7999
竅	389
璸	1
觥	7
眒	7
澠	35
及	164656
啞	470
碧	935
跖	93
胠	7
跽	38
韋	2107
錄	21000
淠	3
焣	8
爮	15
詼	6
緣	212814
欱	37
懌	163
楄	3
獏	1
捚	1
榨	4
失	48585
澸	1
衎	12
綍	5
蝌	9
妺	1
悛	110
緱	21
痍	115
旗	561
瘺	4
媠	5
獅	240
檥	6
遲	2369
室	13678
昊	194
戎	606
釃	5
臻	560
賡	27
蜆	43
愾	17
曦	75
鮞	1
揘	1
嫶	4
幵	84
祱	1
妮	10
熾	6199
遍	67483
袱	36
趻	1
儻	726
垒	8
迢	216
髓	1545
獑	2
稌	3
犳	5
愐	12
試	4092
蹴	218
紻	1
艥	7
煫	1
畡	1
託	3485
勐	6
戢	214
磽	55
箈	1
涌	1926
絲	1465
佞	401
睡	5668
踶	6
嗃	3
鈗	1
硱	5
糕	13
使	52807
泬	2
磈	10
穴	2255
倘	75
櫞	13
盭	1
觴	75
坁	8
辨	20247
胢	1
椽	447
囈	29
鶘	16
擘	458
橐	195
擣	618
鋇	1
味	28092
昷	36
緟	2
鰲	14
壡	3
珦	2
衽	47
瑠	1628
陞	485
祫	3
嚱	1
鐐	9
訇	18
耔	2
咓	18
蓺	23
揮	709
鞋	484
牾	1
樀	12
盯	3
懤	1
瑒	11
獃	13
靡	2849
哨	11
剷	2
碼	167
明	235475
牓	185
忒	96
菧	3
嚪	24
寥	472
滯	3125
葢	169
墁	15
璚	5
車	13538
歿	920
嚂	40
櫟	11
隰	73
搏	650
鬽	25
貲	178
爤	4
椥	2
躬	2049
菟	206
竝	2193
睿	376
早	3111
侈	229
讞	3
駙	66
廠	37
㬰	1
添	664
瀰	27
筳	7
妧	4
蘊	20608
跋	11108
錞	10
咮	8
贓	53
懟	62
虈	3
銶	1
瘰	12
匌	3
鼪	3
彞	6
嫧	1
崘	12
齅	84
威	26058
醬	121
買	2111
堂	14609
峪	28
蚭	2
艼	4
峊	1
嘵	2
艿	2
禨	2
鑢	4
遷	4383
槯	1
臤	25
涂	7
膞	73
臯	93
肆	1444
蓓	3
縒	462
禫	4
摻	20
騾	240
周	20676
嵸	18
颼	62
冄	1
玄	15187
埳	38
誔	1
軻	210
飰	11
拯	706
嶬	5
鼢	4
鎋	33
餂	4
姤	174
磥	2
栿	55
媸	35
覞	8
銝	2
忑	1
軹	4
漩	84
噬	231
魪	2
嗎	2
嗸	5
肌	473
帚	161
換	703
榳	2
寉	49
篛	2
皯	13
嗑	15
㷈	1
弒	16
兔	1957
鄜	32
褁	8
筠	203
囗	206
肅	1933
蠆	108
蜉	57
怖	19271
竭	6338
咠	36
騂	3
蒍	2
匛	3
炳	592
夹	1
宀	126
忝	198
韌	9
咳	172
鏵	36
豰	1
隳	49
喤	5
刑	1642
誙	1
蟒	413
訾	482
氐	457
楎	3
佫	28
娃	5
頣	1
穆	1111
悕	1721
捴	24
匕	371
弄	1658
蜙	7
婕	26
卮	2
弧	33
阤	9
掏	13
胙	6
瑀	87
蜎	287
燭	1517
蹻	28
香	52110
產	2107
佸	4
鍚	12
醞	66
媔	8
惣	67
坥	5
韝	5
鸑	13
圝	19
筒	613
竫	5
遻	98
雈	12
僇	1
棋	24
┘	168
笥	115
椎	826
禛	1
封	2877
艤	21
碕	1
胑	25
麰	13
鮔	3
嶸	83
疚	35
擬	3650
嗁	7
撓	409
活	5564
燄	61
憺	241
臃	8
蓂	15
逮	5717
伽	47833
淚	2415
蜱	233
隗	49
黥	20
項	1322
黔	128
惢	9
熳	19
嘌	56
莎	5289
鬷	2
摓	6
橽	2
復	209156
騀	5
眂	3
場	10709
王	194787
邯	53
槌	548
臰	8
攟	4
逈	962
拆	187
時	337800
性	207746
嚈	3
桙	3
粆	45
淪	1169
怳	93
鶩	73
駸	22
焃	3
眛	1
駜	1
埒	28
焊	8
厇	1
蝠	72
蔴	4
快	6679
蕈	30
讀	11029
辠	11
峗	2
鉸	49
埴	117
歊	10
驫	4
皚	17
恙	145
馭	439
靽	52
醻	54
鴐	4
汩	105
踚	1
螥	6
鈒	1
嗚	1346
旃	3933
頎	9
譀	5
鋼	53
梴	5
俶	57
擎	1164
豕	446
唋	2
凝	1680
湢	2
鐆	17
穉	38
矂	1
遙	5364
痊	130
溝	581
圪	7
逾	1384
譮	13
噈	6
牀	212
壒	6
熅	82
笴	64
珪	362
碑	1248
陣	1074
翾	34
帋	12
烯	1
估	619
搜	759
鍑	59
幢	8854
榟	1
懇	706
亶	188
堲	4
尰	8
輸	3711
驂	44
狃	7
鼖	4
癿	1
ニ	2
枲	248
嚊	17
掇	199
痃	25
請	34402
歍	11
骷	3
叕	47
梵	50086
偕	261
慶	7702
豗	1
鴝	66
逩	1
諙	2
顯	64886
粘	186
給	9775
遟	10
达	2
孰	1558
輻	898
皰	255
踪	52
騞	13
婣	1
靿	11
漶	6
泡	817
瞄	1
飡	682
霡	6
玭	22
訝	146
啝	72
璘	43
肹	31
誄	70
短	6997
讁	104
𥙆	1
飻	26
緯	354
閼	925
囏	5
髰	1
疼	376
蘤	15
嚙	380
岮	1
畞	1
嵌	14
亾	95
惜	3970
据	6
艅	5
隸	1567
授	37473
熣	2
鈏	6
皪	2
才	6921
样	3
紂	244
酧	30
粮	76
袗	2
逅	64
諴	7
帎	1
嚵	13
嬩	2
濰	3
鵶	123
袹	3
嗺	2
籜	7
霢	2
垢	19638
腕	610
醟	12
嫳	3
傖	12
奩	83
躳	12
饌	588
忤	230
環	1863
檘	1
壴	47
黼	47
顋	17
協	262
抄	2846
葧	2
挂	455
哄	7
́	3
詭	508
虡	9
奈	4622
馮	252
膎	13
沐	1484
罏	66
癁	1
鞁	11
嫁	948
堁	8
楮	41
𢝋	1
泰	2791
凢	4
朁	36
頭	41118
赴	2816
鐻	1
答	106591
遰	21
誽	3
霤	63
棃	3
嫟	3
鵯	6
傒	22
䯢	1
賦	720
脋	2
槭	1
妣	67
擺	105
攗	6
鼫	2
胃	645
撜	9
搢	85
運	7891
轆	78
噭	102
渦	32
搼	3
蒐	38
芸	788
宥	151
