旐	13
得無垢女經	24
金玉滿堂	7
襟懷	9
楈	2
附寄	1
國子監	11
𧤲	1
契約	36
韻致	1
謀求	3
胡為	103
流失	7
坦途	2
幻化	1984
瓶子	12
天方	32
首先	11
頭頭	204
敗子	6
妖	714
坐斷	268
廢黜	3
未嘗	797
委任	56
寄主	5
卷第十五	200
侔	138
顯學	7
雘	4
汲水	151
古義	33
恷	1
猂	1
法令	475
中文	907
壽司	1
內兄	3
討取	4
欽仰	80
蠹魚	1
坭	32
據有	141
小彈	7
公主	156
䄇	6
尌	21
澤州	33
摩咥里制吒	4
溫習	34
王行瑜	2
奧祕	6
守護眾地母	3
汴水	2
四佛	663
佄	3
野猪	36
反亂	25
壞處	31
西遼	1
古縣	2
不樂	5874
失準	4
文登	3
金剛縛印	32
惻隱	31
乍來	10
鐔	39
茶店	2
羅湖	15
一中	738
菊花	13
打獵	1
波面	2
褒	585
孤鳥	1
內在	38
胖	17
健達縛	230
藏主	87
曇無	346
褥	1103
瀀	1
筅帚	1
冋	26
泥多佛大	6
孝道	63
尼揵陀若提子	7
嗔怨	2
無造天	7
國術	1
淫鬼	2
服法	98
大災	51
斂錢	1
旃陀越國王經	17
名單	20
約	30542
供養十二大威德天報恩品	1
底色	15
闈	71
逸豫	30
犯重	1050
中衛	3
漁	261
耒耜	10
移位	4
三綱	43
紩	29
驚擾	8
六脚	16
師子佛	106
情境	47
禪悅	242
厄	1416
父愛	39
未曾有因緣經	45
分部	76
名位	128
鬭	2
安然	209
召對	32
眶	8
強忍	21
宣城	29
肥	858
應聲	289
淨財	51
茖	11
了	30495
跋祿迦國	8
俱空	514
鴃	3
茋	1
點檢	67
回轉	20
海波	79
列仙傳	34
星河	27
劗	2
草裏漢	17
朝隱	9
侘傺	3
薩博	1
膱	6
化開	11
繚亂	8
摩那埵	843
騰躍	96
二進	25
洧水	3
鑷	69
菩薩位	731
斫句迦	1
上虞	36
苣藤	2
四洲	437
郁波第耶夜	1
埃垢	2
諛	545
照燒	2
說淨	666
行令	164
大威德陀羅尼經	63
堆	411
悲悽	1
逴	9
節量食	47
跳下	14
判決	20
大三摩惹經	2
疎	2102
八十五	261
仁術	2
楣	30
祛寒	1
羅剎	3028
浮上	3
營辦	102
般	4477
榻	563
可鄙	10
黃皮	6
匑	3
萬載	32
大會堂	5
長住	21
篤行	7
事界	14
茫然	152
詩禮	19
夂	39
風扇	22
玩器	1
預防	11
吾輩	32
疄	1
請便	21
疾步	11
瞥見	5
解甲	10
躗	1
妥	22
莦	2
美名	57
攔	59
遷居	28
孫多耶致經	22
田間	5
遊歷	241
心虛	121
迦利囉窟	2
草地	39
海苔	1
菖	15
佛為娑伽羅龍王所說大乘經	1
與人為善	4
胡幽貞	2
招徠	1
王朝	19
反常	39
宿世	756
魯昭公	4
受享	5
箖	3
措手不及	1
樂園	17
渧	818
後生可畏	9
圢	1
無相布施	6
調養	8
常人	179
廢置	8
轉譯	2
圓滿時	29
三十八	870
張果	17
防風	10
瘐	4
楊廣	20
嵞山	1
讓座	2
名聲	796
懸念	3
半月	1431
裕	443
天台九祖傳	2
有用	821
計價	12
倉惶	2
年表	7
赴約	2
發遣	684
鬍子	2
八佛名經	7
凟	1
咜	15
虛幻	135
汨羅	1
薛居正	1
毬	125
萬貫	6
宋州	24
似雪	18
業力	1006
三論宗	12
十二誓行	1
媧	14
淬	22
妨	3652
燒錢	20
常	77196
不顧	886
公共	10
青春	9
長夜飲	2
搌	4
蘭花	2
糚	1
數周	3
惡損	13
鼈	688
騷	76
擬議	333
食言	22
人影	30
三藐三佛陀	810
剃度	67
贄	63
獅子國	2
內置	59
窮究	59
護甲	1
內心	1791
憤懣	11
肉汁	28
曹公	26
菩提分法	903
世誼	1
畫工	77
庉	2
點竄	2
錢塘江	7
欞	5
舉債	8
家信	7
愇	4
佛骨	68
媎	1
亂民	9
猪	1250
尼連	101
剾	6
福智	874
憸	1
鮮美	8
蔗	221
益	17023
幸而	33
大乘止觀法門	8
珍肴	3
品位	55
唃	4
四諦十六行相	2
離線	1
ㄒ	3
平陽	95
層	876
順口	2
陳情表	5
成語	22
因陀羅	806
狷	29
鐘馗	2
印堂	1
山僧	809
乾連	176
反戰	9
五涼	6
琴	522
哉	7844
遠處	171
須菩提	16095
四天王經	51
錯亂	376
到不行	1
辟支佛因緣論	24
拖曳	2
物料	2
石青	6
末子	2
五方	195
麾	137
双流	1
決	7096
刻劃	3
僕	1017
中堂	17
鎊	1
修葺	40
積水	37
慼	776
樂浪郡	6
暴戾	5
臭	3171
鶉	80
山崩	98
平常	139
蟬鳴	3
十二遊經	106
下邊	14
緇徒	52
惡漢	1
消	4665
獲益	421
粥粥	2
佛說造像量度經解	1
中空	321
明徽	7
石碑	29
眼光	138
情色	36
手氣	2
垂拱	102
烟毒	3
篤病	8
微塵數	2525
坊	842
神異	282
感召	19
猍	1
朝會	38
布線	4
樝	68
林木	196
梵語	2161
三分科經	1
後患	26
駃	161
櫻	23
謠	72
厘	37
入阿毘達磨論	23
訪友	8
淳陀	45
瞞	240
常時	116
